 Projeção da População das Unidades da Federação por sexo e grupos de idade: 2000-2030
População residente por Unidade da Federação e Faixa Etária 1
Período:2005
"Unidade da Federação";"0 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 a 84 anos";"85 a 89 anos";"90 anos e mais";"Total"
"11 Rondônia";165556;160112;164682;162073;158455;139426;121705;110769;97179;76458;57886;41557;30692;22998;15529;9441;4724;1743;730;1541715
"12 Acre";90023;84017;76683;69699;68050;57802;47193;39259;31757;26361;20653;15087;11604;8540;6059;4341;2386;1164;749;661427
"13 Amazonas";418904;406987;382644;345434;338969;292437;241730;194848;166914;131439;100654;70531;51947;39330;27897;17752;10014;4238;2326;3244995
"14 Roraima";54577;51273;47483;42742;41066;34855;29867;26022;22188;17480;13068;8943;5756;4146;2620;1704;923;391;169;405273
"15 Pará";850903;825691;797738;751416;730663;617693;521983;436609;367418;305517;242745;178156;137551;103203;72428;47073;25606;12536;6731;7031660
"16 Amapá";84837;77340;69222;63286;61496;52841;46449;37204;29637;23002;16832;11299;8397;5941;4100;2472;1353;673;533;596914
"17 Tocantins";148630;143070;141075;138247;134496;116031;96788;85952;72728;59193;47691;36973;28603;22716;15946;10484;6096;2818;1287;1308824
"21 Maranhão";765243;716844;693254;699335;664712;526113;408629;351833;308932;260203;215695;168180;136688;110830;79958;51492;32511;17917;10775;6219144
"22 Piauí";321982;306962;303335;331177;323344;265719;208209;188316;170987;144897;121011;98451;77771;64211;44875;32138;19127;8717;4101;3035330
"23 Ceará";826025;845882;853266;852696;803868;679084;584638;539497;484027;378338;316971;268047;206804;177875;122825;98981;62278;27303;13179;8141584
"24 Rio Grande do Norte";299657;294719;299414;314449;307469;262087;228038;216102;195989;150065;118228;104385;78724;65497;45037;38290;25773;12607;6403;3062933
"25 Paraíba";353967;342724;356629;374204;370119;314552;261647;242155;217059;173939;147740;129811;103608;90292;61581;50138;33007;16551;7481;3647204
"26 Pernambuco";850489;838386;832135;847622;853216;756070;659495;585745;521146;429198;354350;295022;227550;189437;131946;98379;59514;28910;13519;8572129
"27 Alagoas";352592;345098;330138;317729;311886;268411;222679;197154;169504;139194;116412;92008;71256;54994;39547;26766;15789;8297;4596;3084050
"28 Sergipe";211015;207392;202916;203950;202799;176833;151646;136208;116810;92715;74987;59580;45676;34937;25288;18169;11293;5658;3019;1980891
"29 Bahia";1359186;1402359;1423468;1442950;1525186;1293925;1062707;946684;833121;708416;566554;456298;358469;289188;209965;153459;92140;49347;30415;14203837
"31 Minas Gerais";1616387;1681576;1729293;1777945;1852653;1679899;1457691;1395209;1335722;1162537;944050;735618;566076;459675;348280;240902;137828;66465;48697;19236503
"32 Espírito Santo";296416;311379;311626;325761;339427;311466;271898;255332;239775;209820;168179;119325;87919;70891;54765;38080;20679;9688;5474;3447900
"33 Rio de Janeiro";1205315;1312146;1271725;1237315;1344706;1314917;1221351;1152466;1139822;1038481;877713;691603;499782;411936;322005;235035;133661;60687;32965;15503631
"35 São Paulo";3311995;3368932;3336619;3520698;3773498;3596591;3318089;3088272;2894084;2559047;2107346;1630190;1175746;935274;700864;510779;283690;125640;63139;40300493
"41 Paraná";875404;909899;942445;931833;938627;863689;805232;783425;726878;614087;508073;398594;304600;237444;174511;117267;63551;27301;13015;10235875
"42 Santa Catarina";465280;509330;538772;546563;555387;493817;463906;461459;446207;371833;302830;229506;165331;127530;91910;63370;35576;15340;7032;5890979
"43 Rio Grande do Sul";826928;870786;898845;907560;955761;845588;770220;783126;806091;723664;614085;494009;373945;294158;225968;160568;91157;42103;21043;10705605
"50 Mato Grosso do Sul";221895;217590;225685;220419;221792;198504;182304;169147;157679;130334;103413;78176;59227;46695;33358;21795;12382;5898;4014;2310307
"51 Mato Grosso";279159;269606;281371;279755;279895;257339;233339;212304;187943;152448;116264;85697;62992;46313;30973;19016;9828;4412;3250;2811904
"52 Goiás";516410;518661;522017;529123;553341;527876;474362;434332;383175;313920;249198;191410;143254;111901;77874;49927;27777;12256;6530;5643344
"53 Distrito Federal";207038;211591;207684;213376;249465;244677;214710;184925;155265;123880;100933;73272;49610;37528;23101;15202;8199;3644;2255;2326355
"Total";16975813;17230352;17240164;17447357;17960346;16188242;14306505;13254354;12278037;10516466;8623561;6761728;5069578;4063480;2989210;2133020;1226862;572304;313427;185150806
 Fonte:
 
 IBGE/Diretoria de Pesquisas. Coordenação de População e Indicadores Sociais. Gerência de Estudos e Análises da Dinâmica Demográfica.
 Projeção da população do Brasil e Unidades da Federação por sexo e idade para o período 2000-2030
 
