 Projeção da População das Unidades da Federação por sexo e grupos de idade: 2000-2030
População residente por Unidade da Federação e Faixa Etária 1
Período:2013
"Unidade da Federação";"0 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 a 84 anos";"85 a 89 anos";"90 anos e mais";"Total"
"11 Rondônia";144943;156036;162483;162005;164504;164385;153490;130715;115493;103294;84964;63883;45359;30825;21062;13372;7134;3002;1265;1728214
"12 Acre";87220;89276;87493;80789;72522;67986;63493;52035;42705;35006;28002;22346;16348;11568;8365;5459;3297;1672;881;776463
"13 Amazonas";409194;418672;412639;404112;368982;341427;319307;266144;216245;177437;146800;110430;78794;52783;36836;24518;13912;6507;3182;3807921
"14 Roraima";51728;54901;55000;51948;47834;44052;39749;32617;27859;23697;19222;14583;10271;6374;3821;2376;1232;587;221;488072
"15 Pará";794380;831994;827418;800675;755215;725063;673589;559536;471124;391212;324321;260732;193815;136787;98039;63522;36231;17303;8698;7969654
"16 Amapá";80177;85086;85748;78179;70560;65551;60137;50778;42875;33660;26457;19633;13445;8829;6148;3836;2219;1032;646;734996
"17 Tocantins";135028;144605;146894;140386;137106;135965;127672;106886;90363;78584;64131;51089;39840;29357;21255;14646;8502;4052;1803;1478164
"21 Maranhão";705496;745830;722198;642253;617232;627920;579522;448849;361577;315828;268911;218800;171526;128082;97223;68103;39646;20677;14628;6794301
"22 Piauí";265505;300006;314600;272158;274199;296235;284432;227994;187853;173880;152241;124751;99780;76103;56642;38795;22054;11411;4765;3183404
"23 Ceará";713659;777188;831044;814924;807560;799084;733387;616405;544572;500989;421778;327277;272367;212904;159974;116527;69652;41466;18581;8779338
"24 Rio Grande do Norte";266710;288563;303436;293081;302305;311818;289928;243624;218902;206705;173174;127522;103878;84875;61648;44359;27190;17126;9115;3373959
"25 Paraíba";321975;346940;348176;330425;337641;354617;341718;284590;245383;226612;191402;151195;128323;104061;79977;57937;33767;20043;9639;3914421
"26 Pernambuco";745749;812700;848414;806489;791519;811178;793005;692077;606447;537700;459429;367673;297326;229061;167526;117986;68990;37542;17739;9208550
"27 Alagoas";302574;329082;338322;313445;288155;286880;280137;235738;199566;175978;147075;118996;94747;70296;50490;33947;20104;9916;5487;3300935
"28 Sergipe";181609;199650;214643;203899;199227;201300;192102;163409;142191;125871;102704;79861;62848;46877;33165;22277;13655;7067;3307;2195662
"29 Bahia";1196281;1292771;1342906;1318809;1287494;1375847;1397093;1147020;967369;862722;742221;604885;469729;361207;269295;189990;117055;64308;37135;15044137
"31 Minas Gerais";1412425;1534496;1650927;1683747;1708262;1780662;1781025;1560176;1389881;1340510;1227687;1018675;792992;589485;436021;318215;201087;103504;63579;20593356
"32 Espírito Santo";275219;293772;315066;320397;328037;343035;337929;296199;262323;246863;223657;186146;138596;94133;68472;50509;32630;16722;9661;3839366
"33 Rio de Janeiro";1052291;1130990;1256325;1318652;1265262;1276390;1328521;1254864;1157957;1110621;1059086;913347;730833;529447;371083;278010;182689;98015;54796;16369179
"35 São Paulo";2947378;3142818;3380081;3421108;3543511;3739514;3736334;3438518;3157128;2935061;2666376;2249238;1764033;1272095;889391;641451;409710;217638;112286;43663669
"41 Paraná";768412;828105;886311;926596;923564;917357;900501;821245;777501;746496;660848;540879;428560;317541;228486;158790;96691;47572;22010;10997465
"42 Santa Catarina";440532;468675;510434;563570;586530;590373;557602;489732;468923;460870;415294;332506;258512;183095;126210;87310;52735;26873;14478;6634254
"43 Rio Grande do Sul";699242;760407;838016;873804;875617;901533;895574;782882;744615;770803;749814;641836;521249;392387;280828;200898;129759;67516;37263;11164043
"50 Mato Grosso do Sul";210672;220761;220558;225899;226103;225046;216892;192183;175933;162468;142804;112833;85647;61777;44611;30991;18214;8983;4894;2587269
"51 Mato Grosso";263892;276468;276278;282341;288775;288174;276154;246925;222476;199450;168823;130266;94579;66097;45377;29091;16014;7118;3815;3182113
"52 Goiás";469094;511365;550471;561815;571197;577555;569255;515790;459421;413068;349054;274851;209380;151399;107113;72704;41072;19823;9621;6434048
"53 Distrito Federal";205671;199273;218285;249881;262413;272698;270715;242239;204915;173575;140059;109829;84455;59405;41285;28180;15503;7984;3396;2789761
"Total";15147056;16240430;17144166;17141387;17101326;17521645;17199263;15099170;13501597;12528960;11156334;9174062;7207232;5306850;3810343;2713799;1680744;885459;472891;201032714
 Fonte:
 
 IBGE/Diretoria de Pesquisas. Coordenação de População e Indicadores Sociais. Gerência de Estudos e Análises da Dinâmica Demográfica.
 Projeção da população do Brasil e Unidades da Federação por sexo e idade para o período 2000-2030
 
