 Projeção da População das Unidades da Federação por sexo e grupos de idade: 2000-2030
População residente por Unidade da Federação e Faixa Etária 1
Período:2008
"Unidade da Federação";"0 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 a 84 anos";"85 a 89 anos";"90 anos e mais";"Total"
"11 Rondônia";157101;163301;162922;163677;162181;153153;131413;116349;105490;87909;67200;49193;34708;25378;17653;10776;5585;2180;823;1616992
"12 Acre";89775;87782;81204;73169;68633;64381;52808;43339;35787;28976;23576;17633;12838;9636;6743;4565;2784;1252;754;705635
"13 Amazonas";420024;412628;402514;367535;343304;323224;270008;219713;180822;151235;116207;84945;58735;43172;31064;19887;11116;5020;2409;3463562
"14 Roraima";54297;54705;51197;46617;43307;39618;32932;28381;24477;20119;15420;11047;7175;4635;3100;1824;1057;445;180;440533
"15 Pará";838448;836301;813997;769245;737910;685476;569880;480801;401844;336267;274161;208416;151779;114900;80896;52217;29381;13437;7159;7402515
"16 Amapá";84275;84060;75506;68238;64242;59511;50728;43107;33919;26894;20228;14170;9565;6993;4692;2964;1596;752;537;651977
"17 Tocantins";144724;147290;142108;138729;136817;128355;107602;91723;80332;66221;53260;42027;32041;24491;18067;11690;6839;3190;1392;1376898
"21 Maranhão";760173;741789;684815;668477;663172;601215;462644;373367;328032;282916;234366;187570;145095;116077;87687;57004;33620;18917;11853;6458789
"22 Piauí";303665;321556;291367;301895;317396;296349;235283;193537;179317;158040;131619;108019;84926;66759;50166;32539;20586;9494;4084;3106597
"23 Ceará";781383;839869;840262;840202;823511;749223;628246;557145;515298;435949;341364;289712;232781;182722;142792;96324;68677;32865;13730;8412055
"24 Rio Grande do Norte";287200;301986;293838;305005;313747;290958;245085;220988;209558;177410;132512;109371;91489;69063;52867;36628;27683;14524;6979;3186891
"25 Paraíba";345258;349741;342750;354842;365675;347110;287789;249177;231656;197240;157893;136584;114113;92080;71720;47829;34378;17692;7980;3751507
"26 Pernambuco";813301;851862;825826;821907;835664;809764;705144;619243;552821;476433;386111;318773;253871;196192;149389;98738;64556;31298;14656;8825549
"27 Alagoas";336215;347158;332871;312213;303258;290335;243582;206698;182719;153538;125809;102745;78682;59608;43364;28775;17088;8452;4865;3177975
"28 Sergipe";198764;213474;204754;201834;203154;193430;164929;143825;128227;105784;83199;66735;51570;38494;27857;19119;12193;6021;2995;2066358
"29 Bahia";1303314;1367756;1391622;1376624;1435779;1433245;1172775;992007;888999;770305;635094;502070;396398;309012;233944;161084;103238;52407;32475;14558148
"31 Minas Gerais";1532612;1654138;1699237;1733974;1802972;1796646;1574802;1408418;1367266;1261439;1057423;835692;636997;491350;382695;268109;161882;77056;51570;19794278
"32 Espírito Santo";288702;308675;312562;320379;337283;335098;295594;262934;249248;227870;191857;145134;100905;76161;59842;42722;25438;11482;6638;3598524
"33 Rio de Janeiro";1137134;1257050;1307304;1255007;1281795;1342592;1270610;1176058;1134413;1093180;956734;779723;581324;426521;342329;249636;156944;72548;38964;15859866
"35 São Paulo";3165935;3373480;3343584;3447642;3703365;3748600;3469147;3194552;2987232;2741548;2339927;1864617;1377861;1002911;772191;547482;342379;152642;76556;41651651
"41 Paraná";830087;887540;930041;934181;928542;907994;830369;789024;759876;677041;560707;451875;344413;259460;193434;131137;76049;33321;15316;10540407
"42 Santa Catarina";450889;490678;536221;556427;568358;544028;481466;464738;461479;419769;340155;268933;195559;140825;104207;70127;42157;19001;9032;6164049
"43 Rio Grande do Sul";768131;845116;883946;893051;921968;912919;796682;759146;789188;771972;667902;551279;426188;318442;243555;174794;107232;49496;25951;10906958
"50 Mato Grosso do Sul";218606;219270;224569;224258;222952;215209;191674;176605;164735;146445;117044;90388;67056;50720;37870;24676;14313;6846;4064;2417300
"51 Mato Grosso";274731;274139;278607;283595;284247;274919;247607;224155;202413;172899;135287;100422;72517;52337;36157;22183;11912;5082;3287;2956496
"52 Goiás";496379;532077;533719;540764;558300;559725;512372;459609;416231;355280;283793;220464;164565;122452;89910;57077;32387;14893;7263;5957260
"53 Distrito Federal";203358;207483;218238;223758;246825;260622;237546;202403;172299;140907;113151;87456;60812;42724;30280;17953;10723;4780;2351;2483669
"Total";16284481;17170904;17205581;17223245;17674357;17363699;15268717;13697042;12783678;11483586;9561999;7644993;5783963;4343115;3314471;2287859;1421793;665093;353863;191532439
 Fonte:
 
 IBGE/Diretoria de Pesquisas. Coordenação de População e Indicadores Sociais. Gerência de Estudos e Análises da Dinâmica Demográfica.
 Projeção da população do Brasil e Unidades da Federação por sexo e idade para o período 2000-2030
 
