 Projeção da População das Unidades da Federação por sexo e grupos de idade: 2000-2030
População residente por Unidade da Federação e Faixa Etária 1
Período:2006
"Unidade da Federação";"0 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 a 84 anos";"85 a 89 anos";"90 anos e mais";"Total"
"11 Rondônia";162658;161517;164452;162581;160537;143847;124596;112677;100290;80140;60971;43874;31904;23798;16204;9880;5002;1879;739;1567546
"12 Acre";90106;85454;78214;70505;68712;59965;48967;40630;32987;27254;21635;15837;12013;8880;6245;4429;2497;1181;741;676252
"13 Amazonas";420182;409017;390344;350932;342673;302626;251259;202133;172111;137676;105960;74823;53988;40540;28912;18370;10371;4451;2311;3318679
"14 Roraima";54650;52647;48901;43896;42127;36357;30853;26812;23020;18358;13870;9628;6160;4315;2759;1737;966;406;172;417634
"15 Pará";848397;829465;804236;755127;738300;638998;538064;450633;378569;315788;253549;187096;142130;106905;75050;48753;26699;12737;6809;7157305
"16 Amapá";84773;80111;71303;64675;62831;54857;48070;39078;31030;24290;17951;12128;8782;6257;4294;2619;1427;689;527;615692
"17 Tocantins";147614;144675;141412;138308;136030;120255;100010;88060;75269;61425;49548;38555;29606;23349;16583;10856;6324;2924;1304;1332107
"21 Maranhão";766404;725013;687449;689955;669403;551044;424711;358687;315552;267440;222323;173874;139218;112756;82509;53037;32806;18253;11011;6301445
"22 Piauí";316493;313256;296815;322553;323782;276749;215867;190145;174174;149133;124523;101617;79709;65348;46234;32310;19571;8929;4045;3061253
"23 Ceará";811021;846464;848231;850218;814623;701765;597328;545684;497376;395232;324724;276143;213406;181214;127586;98629;64585;28984;13076;8236289
"24 Rio Grande do Norte";295521;298032;296660;311933;311471;271221;232698;217989;201917;158498;122086;106824;82145;67281;46800;37970;26461;13220;6500;3105227
"25 Paraíba";351590;344678;351013;368113;371108;325645;268954;244778;222875;180821;150702;132589;106154;91863;63924;49548;33433;16864;7570;3682222
"26 Pernambuco";838639;845110;827948;838111;852324;773860;674204;596323;533193;444013;364113;303596;234425;192913;136350;98799;61002;29618;13792;8658333
"27 Alagoas";347724;346707;330617;315204;311089;276122;228898;200646;174086;143603;119719;95405;73552;56502;40700;27394;16118;8303;4671;3117060
"28 Sergipe";206846;210536;203103;203018;204155;182281;155625;138955;120865;96740;77672;61901;47482;36104;26012;18489;11566;5750;2983;2010083
"29 Bahia";1342046;1390985;1411720;1414470;1512305;1340975;1095309;962366;851824;730248;587843;471434;369456;296546;216599;156498;95316;50176;31013;14327129
"31 Minas Gerais";1587594;1676519;1718975;1759083;1848740;1721600;1489050;1399160;1350996;1197139;981769;767826;586450;470402;359222;250205;145327;69624;49153;19428834
"32 Espírito Santo";293972;311276;311183;323495;340578;319765;278537;257758;243404;216241;176572;127195;91599;72559;56387;39735;22120;10209;5796;3498381
"33 Rio de Janeiro";1181362;1300049;1285464;1234683;1331101;1325934;1236735;1156526;1141920;1058496;904983;722389;521642;417085;327878;240967;141180;64380;34584;15627358
"35 São Paulo";3262511;3385559;3332264;3488973;3771362;3647820;3364759;3120120;2930517;2624187;2185881;1709714;1232431;958500;720933;525592;302130;133834;66789;40763876
"41 Paraná";859664;903694;940462;930586;939812;877472;811668;786691;740560;634398;526088;415708;316508;244529;180430;121943;67486;29073;13618;10340390
"42 Santa Catarina";459664;503313;539030;548763;563313;508194;468224;462460;454117;387054;315695;242342;174070;131909;95521;65654;37636;16463;7564;5980986
"43 Rio Grande do Sul";805702;865313;895231;899009;953502;866241;775378;773921;805403;740421;632666;513489;389360;301691;231410;165664;96234;44312;22477;10777424
"50 Mato Grosso do Sul";220955;217788;226091;221089;223686;203516;185388;171317;160829;135558;107977;81971;61529;48069;34785;22714;12976;6183;3977;2346398
"51 Mato Grosso";277887;270693;281236;280753;282585;263083;237881;216267;193272;159300;122407;90291;65885;48299;32575;20048;10444;4603;3232;2860741
"52 Goiás";509539;525164;526318;531678;557284;539446;485883;443203;395006;327443;260508;200773;149461;115636;81637;52228;29282;13064;6701;5750254
"53 Distrito Federal";205369;211004;211508;214598;250250;249944;221773;190448;160914;128806;105284;77844;52732;39442;25083;16090;8946;3964;2240;2376239
"Total";16748883;17254039;17220180;17332309;17983683;16579582;14590689;13393467;12482076;10839702;8937019;7054866;5271797;4162692;3082622;2190158;1287905;600073;323395;187335137
 Fonte:
 
 IBGE/Diretoria de Pesquisas. Coordenação de População e Indicadores Sociais. Gerência de Estudos e Análises da Dinâmica Demográfica.
 Projeção da população do Brasil e Unidades da Federação por sexo e idade para o período 2000-2030
 
