 Projeção da População das Unidades da Federação por sexo e grupos de idade: 2000-2030
População residente por Unidade da Federação e Faixa Etária 1
Período:2014
"Unidade da Federação";"0 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 a 84 anos";"85 a 89 anos";"90 anos e mais";"Total"
"11 Rondônia";142826;153383;163080;160584;164785;164757;157555;134637;117640;105520;88576;67019;48028;32340;21833;13934;7480;3179;1375;1748531
"12 Acre";86554;88942;88375;82153;74092;67989;65258;54067;44184;36435;28949;23259;17259;12041;8728;5723;3398;1772;923;790101
"13 Amazonas";405980;417479;414687;407714;378012;342186;327517;275548;225567;182352;153173;115621;83802;55561;38228;25487;14602;6830;3397;3873743
"14 Roraima";51200;54387;55599;52599;49087;44515;41161;33712;28581;24329;19988;15282;10946;6889;4006;2518;1286;616;235;496936
"15 Pará";783993;825090;830768;803203;763211;723521;692542;576741;486596;403441;334490;270460;204355;142391;101822;66184;37734;18238;9144;8073924
"16 Amapá";79310;84386;87011;80224;72510;66160;62172;52154;44759;35208;27750;20786;14492;9309;6495;4036;2362;1109;679;750912
"17 Tocantins";133055;142818;147720;140791;137406;135869;130827;110915;92433;80912;66566;52994;41600;30681;21907;15303;8908;4261;1914;1496880
"21 Maranhão";690776;739136;727694;646812;607714;620640;597580;469887;371388;321880;276140;224650;178093;131628;98975;70164;41337;21231;15159;6850884
"22 Piauí";258000;293057;314602;274592;264769;290026;290049;238266;191053;175884;156286;128364;102850;78822;57637;40454;22522;11734;4989;3193956
"23 Ceará";701860;762964;823232;812940;801505;798717;752388;634336;551882;507361;440444;337961;278759;222284;161715;122565;70269;42517;19854;8843553
"24 Rio Grande do Norte";262920;284465;303459;293592;298815;311005;298306;251229;221174;209202;181718;133901;105481;88961;62962;46965;27310;17429;9616;3408510
"25 Paraíba";316471;343343;350592;328638;331648;350013;349329;295266;249077;230052;199214;155885;130388;107903;80519;61056;34053;20377;10061;3943885
"26 Pernambuco";732712;799984;847475;809462;785740;800788;805504;708742;619423;547252;474817;380179;305366;238909;170450;123430;70421;38865;18633;9278152
"27 Alagoas";295934;323147;336975;315140;287324;282272;284427;243353;203307;179844;151948;122302;98218;72955;52135;35177;20832;10342;5673;3321305
"28 Sergipe";178904;195865;214268;205541;199060;200160;196505;168558;145019;129132;107142;82935;65276;48912;34395;23157;14015;7304;3426;2219574
"29 Bahia";1175003;1273049;1331068;1310907;1273881;1332676;1424154;1189777;987000;879926;760793;627956;486134;374911;276098;197536;119945;67007;38550;15126371
"31 Minas Gerais";1391618;1508196;1634183;1674008;1698506;1752862;1804627;1606276;1402799;1345207;1253833;1054887;827452;616870;448654;328700;208824;109513;67082;20734097
"32 Espírito Santo";272680;291012;312043;322464;327178;340477;343700;305473;266310;249496;228660;193109;147437;99787;70775;52138;33926;17939;10445;3885049
"33 Rio de Janeiro";1039689;1111142;1228193;1323865;1280726;1255047;1330081;1271040;1171940;1108349;1071919;937220;757873;560210;380605;284690;186736;103071;58777;16461173
"35 São Paulo";2909839;3095771;3348463;3435899;3528470;3695782;3774250;3494540;3200908;2964069;2717820;2322070;1839498;1347965;920208;665677;421318;231060;121697;44035304
"41 Paraná";758051;814587;878411;917710;926284;911562;912613;833355;779921;753279;680324;558853;446605;332522;237007;165030;100938;50755;23885;11081692
"42 Santa Catarina";439722;465575;505086;560116;590983;592109;575003;500257;471491;462644;429624;345487;271615;194659;131732;91505;55100;28608;15832;6727148
"43 Rio Grande do Sul";689091;744050;825313;865294;874348;883639;911914;798171;741732;760302;760431;658839;539519;411191;290988;207108;133858;71395;40091;11207274
"50 Mato Grosso do Sul";208767;219383;222388;223677;227755;224310;221985;196040;178966;164169;147634;117526;89980;64832;46136;32317;19132;9503;5157;2619657
"51 Mato Grosso";261321;274568;279066;279482;289826;288374;281228;252221;226605;203579;175087;136754;99869;69659;47442;30677;16945;7644;4010;3224357
"52 Goiás";464826;504740;551100;564295;576243;577201;576875;528939;468131;422458;362075;286720;219266;159238;110795;76052;43122;20896;10250;6523222
"53 Distrito Federal";207031;198990;215761;252546;269227;272434;276092;250285;212257;180049;146830;114095;89291;64002;43481;30746;16750;8749;3756;2852372
"Total";14938133;16009509;17036612;17144248;17079105;17325091;17483642;15473785;13700143;12662331;11442231;9485114;7499452;5575432;3925728;2818329;1733123;931944;504610;202768562
 Fonte:
 
 IBGE/Diretoria de Pesquisas. Coordenação de População e Indicadores Sociais. Gerência de Estudos e Análises da Dinâmica Demográfica.
 Projeção da população do Brasil e Unidades da Federação por sexo e idade para o período 2000-2030
 
