"Mês Ano";"Programa Orçamentário";"Ação Orçamentária";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"02/2019";"2038 - DEMOCRACIA E APERFEICOAMENTO DA GESTAO PUBLICA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"- 1.499.900,00";"0,00";"0,00";"834.323,04";
"07/2019";"2038 - DEMOCRACIA E APERFEICOAMENTO DA GESTAO PUBLICA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"9.000.000,00";"0,00";"0,00";"658.312,76";
"05/2019";"2038 - DEMOCRACIA E APERFEICOAMENTO DA GESTAO PUBLICA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"999.000,00";"0,00";"0,00";"897.694,91";
"03/2019";"2038 - DEMOCRACIA E APERFEICOAMENTO DA GESTAO PUBLICA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"2.480.418,34";
"12/2019";"2038 - DEMOCRACIA E APERFEICOAMENTO DA GESTAO PUBLICA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"1.729.257,33";"5.153.101,05";"130.448,00";
"11/2019";"2038 - DEMOCRACIA E APERFEICOAMENTO DA GESTAO PUBLICA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"- 2.907.100,00";"3.423.843,72";"112.171,88";"310,58";
"10/2019";"2038 - DEMOCRACIA E APERFEICOAMENTO DA GESTAO PUBLICA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"124.967,94";"12.796,06";"159.392,49";
"01/2019";"2038 - DEMOCRACIA E APERFEICOAMENTO DA GESTAO PUBLICA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"1.502.000,00";"0,00";"0,00";"174.584,09";
"09/2019";"2038 - DEMOCRACIA E APERFEICOAMENTO DA GESTAO PUBLICA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"4.000.000,00";"0,00";"0,00";"267,01";
"08/2019";"2038 - DEMOCRACIA E APERFEICOAMENTO DA GESTAO PUBLICA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"146.237,44";
"01/2019";"2016 - POLITICAS PARA AS MULHERES: PROMOCAO DA IGUALDADE E ENFRENTA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"288,00";
"12/2019";"2016 - POLITICAS PARA AS MULHERES: PROMOCAO DA IGUALDADE E ENFRENTA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"2.906,93";
"08/2019";"2101 - PROGRAMA DE GESTAO E MANUTENCAO DA PRESIDENCIA DA REPUBLICA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"5.696,32";
"10/2019";"2101 - PROGRAMA DE GESTAO E MANUTENCAO DA PRESIDENCIA DA REPUBLICA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"3.000,88";
"07/2019";"2101 - PROGRAMA DE GESTAO E MANUTENCAO DA PRESIDENCIA DA REPUBLICA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"2.128,05";
"05/2019";"2101 - PROGRAMA DE GESTAO E MANUTENCAO DA PRESIDENCIA DA REPUBLICA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"42,13";
"09/2019";"2103 - PROGRAMA DE GESTAO E MANUTENCAO DA SECRETARIA DE POLITICAS D";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"804,03";
"10/2019";"2103 - PROGRAMA DE GESTAO E MANUTENCAO DA SECRETARIA DE POLITICAS D";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"7.048,29";
"01/2019";"2105 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA AGRICULTURA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"441.385,10";
"03/2019";"2105 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA AGRICULTURA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"103.587,31";
"08/2019";"2105 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA AGRICULTURA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"11.395,24";"11.395,24";"0,00";"0,00";
"06/2019";"2105 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA AGRICULTURA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"29.385,43";
"10/2019";"2105 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA AGRICULTURA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"452.000,00";"0,00";"0,00";"0,00";
"09/2019";"2105 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA AGRICULTURA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"11.395,24";"0,00";
"12/2019";"2105 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA AGRICULTURA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"338.255,40";"0,00";"0,00";"0,00";
"02/2019";"2105 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA AGRICULTURA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"89.571,79";
"04/2019";"2105 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA AGRICULTURA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"45,36";
"05/2019";"2105 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA AGRICULTURA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"182.516,82";
"11/2019";"2105 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA AGRICULTURA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"- 442.000,00";"0,00";"0,00";"0,00";
"12/2019";"2106 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA CIENCIA, TE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"2.395.120,00";"0,00";"0,00";"0,00";
"01/2019";"2106 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA CIENCIA, TE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"59.375,00";
"04/2019";"2107 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA CULTURA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"1.348.255,29";
"02/2019";"2107 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA CULTURA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"355.655,27";
"03/2019";"2107 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA CULTURA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"486.480,09";
"07/2019";"2108 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA DEFESA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"51.975,87";"288.153,74";"48.014,20";"0,00";
"08/2019";"2108 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA DEFESA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"119.130,00";"183.121,92";"429.404,37";"0,00";
"01/2019";"2108 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA DEFESA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"92.967,46";
"04/2019";"2108 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA DEFESA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"541.100,00";"242.071,62";"242.071,62";"0,00";
"09/2019";"2108 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA DEFESA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"402.347,86";"18.990,28";"11.858,40";"22.170,40";
"03/2019";"2108 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA DEFESA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"15.659,13";"175.000,00";"248.335,87";"40.104,09";
"06/2019";"2108 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA DEFESA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"240.643,56";"74.494,80";"75.596,49";"31.452,81";
"12/2019";"2108 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA DEFESA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"- 27.613,22";"89.048,22";"28.182,75";"0,00";
"10/2019";"2108 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA DEFESA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"- 5.976,96";"166.705,59";"159.132,71";"0,00";
"02/2019";"2108 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA DEFESA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"248.335,87";"73.335,87";"0,00";"8.215,20";
"11/2019";"2108 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA DEFESA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"3.029,58";"33.242,63";"53.138,98";"0,00";
"05/2019";"2108 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA DEFESA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"24.523,99";"112.439,91";"95.897,32";"12.974,65";
"06/2019";"2109 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA EDUCACAO";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"1.575.218,15";"1.355.410,99";"1.044.751,70";"156.424,14";
"05/2019";"2109 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA EDUCACAO";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"196.000,00";"591.480,85";"591.480,85";"62.789,55";
"09/2019";"2109 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA EDUCACAO";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"3.584.000,00";"802.599,33";"53.925,64";"525.288,96";
"04/2019";"2109 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA EDUCACAO";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"209.921,90";"209.921,90";"255.702,55";
"08/2019";"2109 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA EDUCACAO";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"- 5.591,06";"282.195,71";"346.445,71";"96.216,53";
"10/2019";"2109 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA EDUCACAO";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"513.750,00";"94.425,45";"847.378,30";"149.226,42";
"07/2019";"2109 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA EDUCACAO";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"15.324.781,85";"662.798,56";"895.949,41";"218.424,52";
"11/2019";"2109 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA EDUCACAO";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"200.950,00";"2.527.892,10";"1.259.383,76";"238.880,83";
"03/2019";"2109 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA EDUCACAO";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"250.000,00";"0,00";"796.878,22";"1.542.824,04";
"01/2019";"2109 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA EDUCACAO";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"2.000.000,00";"0,00";"0,00";"1.403.539,13";
"12/2019";"2109 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA EDUCACAO";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"1.728.760,98";"2.350.376,33";"852.635,05";
"02/2019";"2109 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA EDUCACAO";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"805.563,81";"8.685,59";"1.646.520,86";
"08/2019";"2110 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA FAZENDA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"1.017.052,99";"1.274.777,68";"0,00";
"09/2019";"2110 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA FAZENDA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"252.975,39";"45.266,83";"0,00";
"07/2019";"2110 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA FAZENDA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"538.101,22";"43.843,33";"0,00";
"11/2019";"2110 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA FAZENDA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"7.876,56";"692,41";"0,00";
"05/2019";"2110 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA FAZENDA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"2.400.000,00";"0,00";"0,00";"0,00";
"10/2019";"2110 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA FAZENDA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"188.633,66";"627.766,08";"0,00";
"12/2019";"2110 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA FAZENDA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"562,37";"12.855,86";"0,00";
"07/2019";"2112 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA JUSTICA E S";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"299.996,16";
"01/2019";"2112 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA JUSTICA E S";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"10.288,00";
"01/2019";"2134 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA MULHER, DA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"391.039,45";
"02/2019";"2134 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA MULHER, DA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"181.240,67";
"03/2019";"2134 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA MULHER, DA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"2.628.125,47";
"06/2019";"2134 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA MULHER, DA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"20.072,14";
"12/2019";"2134 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA MULHER, DA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"14.626,50";"0,00";"0,00";"0,00";
"05/2019";"2134 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA MULHER, DA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"339.163,19";
"12/2019";"2115 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA SAUDE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"2.515.000,00";"23.178.293,80";"26.466.103,68";"445.906,96";
"05/2019";"2115 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA SAUDE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"250.000,00";"12.960.833,88";"12.425.383,21";"708.654,18";
"06/2019";"2115 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA SAUDE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"3.177.261,71";"11.522.269,66";"7.566.651,82";"1.742.385,34";
"02/2019";"2115 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA SAUDE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"40.291.666,67";"0,00";"0,00";"18.960.529,52";
"01/2019";"2115 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA SAUDE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"1.000.000,00";"0,00";"0,00";"18.815.805,42";
"11/2019";"2115 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA SAUDE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"70.649.952,64";"8.738.223,65";"6.448.021,33";"73.557,23";
"03/2019";"2115 - PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA SAUDE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"4.632.271,41";"3.724.581,72";"2.577.204,72";
