 Projeção da População das Unidades da Federação por sexo e grupos de idade: 2000-2030
População residente por Unidade da Federação e Faixa Etária 1
Período:2015
"Unidade da Federação";"0 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 a 84 anos";"85 a 89 anos";"90 anos e mais";"Total"
"11 Rondônia";140771;150851;163778;158609;164749;165219;160697;138866;120174;107601;91891;70308;50748;34075;22694;14482;7844;3361;1486;1768204
"12 Acre";85849;88496;89152;83298;75626;68434;66466;56154;45817;37826;30027;24150;18162;12614;9086;5996;3525;1859;976;803513
"13 Amazonas";402454;415721;417733;408973;386242;345446;333373;285198;234811;188412;158896;121202;88711;58824;39791;26450;15312;7181;3606;3938336
"14 Roraima";50684;53840;56145;53028;50243;45226;42321;34937;29345;24979;20716;15993;11627;7435;4251;2646;1358;638;253;505665
"15 Pará";773411;817052;834689;803209;770376;724858;705563;595824;502209;416383;344924;280193;214535;149168;105647;68937;39359;19138;9638;8175113
"16 Amapá";78505;83574;87880;82189;74482;67125;63770;53803;46465;36876;29063;21989;15530;9920;6837;4262;2503;1188;718;766679
"17 Tocantins";131141;140909;148249;141145;137737;135856;133096;114969;95027;83076;69002;55015;43365;32076;22696;15910;9345;4485;2027;1515126
"21 Maranhão";675876;730104;729853;655152;600170;612858;607907;492304;384192;328210;282819;230973;184298;135874;101013;71991;43043;21953;15651;6904241
"22 Piauí";251014;285676;310478;280878;257067;282734;292132;248439;196331;177688;159806;132186;105981;81544;59040;41783;23285;11983;5217;3203262
"23 Ceará";690831;749058;812359;812148;795939;797049;766075;654068;561672;513515;455881;351325;285723;230469;165643;126841;72434;43108;21087;8905225
"24 Rio Grande do Norte";259349;280320;301882;295305;295729;309472;304414;259619;224649;211385;188826;141098;108167;92034;65195;48969;28098;17571;10093;3442175
"25 Paraíba";310943;339141;352290;328002;326276;345085;353395;306150;254737;233175;205944;161573;132925;111096;82053;63247;35153;20547;10470;3972202
"26 Pernambuco";720322;786731;843079;813987;781257;791715;811135;726135;633514;557601;488546;393780;314381;247912;175290;127709;72965;39947;19597;9345603
"27 Alagoas";289640;316796;334875;316477;287030;278682;285858;250822;208243;183477;156522;126110;101511;75793;53970;36403;21634;10776;5883;3340502
"28 Sergipe";176488;192224;212643;207488;199130;199252;199373;173870;148484;132144;111315;86412;67769;50966;35782;24056;14453;7531;3557;2242937
"29 Bahia";1154241;1252326;1318831;1302216;1261385;1297796;1429751;1234058;1013281;896080;779085;649874;504393;388578;284423;204254;123887;69309;40166;15203934
"31 Minas Gerais";1371765;1482883;1614865;1663307;1688279;1730147;1814263;1649707;1425225;1349863;1274515;1089877;862791;645493;464333;338639;216892;115317;70940;20869101
"32 Espírito Santo";270237;288204;307596;325349;326557;338302;347339;314413;271771;252137;233021;199805;155854;106305;73651;53717;35257;19085;11311;3929911
"33 Rio de Janeiro";1028195;1092832;1198464;1323473;1294883;1243566;1324786;1284732;1186912;1110081;1080153;959460;784849;589728;395448;290648;191342;107457;63015;16550024
"35 São Paulo";2874406;3050488;3299865;3457746;3515297;3657519;3795112;3549530;3247202;2996184;2763134;2391227;1915670;1422865;961828;688201;435621;242672;131917;44396484
"41 Paraná";748103;801746;871895;905056;927250;908891;919457;846531;784660;758592;696906;578010;464467;348123;246830;171298;105435;53852;25916;11163018
"42 Santa Catarina";439113;462960;500940;554423;593927;595146;588539;513487;475294;464365;440776;359680;284529;206513;138593;95568;57801;30284;17252;6819190
"43 Rio Grande do Sul";679752;729169;812411;854056;871742;870943;918640;815800;742954;750837;765413;675669;557810;429730;303150;213619;138187;74975;43115;11247972
"50 Mato Grosso do Sul";206704;217876;225351;220131;228810;224351;225527;200571;182083;166173;151622;122445;94360;68120;47960;33554;20117;10038;5442;2651235
"51 Mato Grosso";258579;272491;282990;275326;290216;288937;285128;257809;230958;207630;180833;143317;105412;73519;49726;32247;17954;8177;4237;3265486
"52 Goiás";460912;498487;550599;565610;580725;578243;582614;541181;478099;431431;374185;299118;229478;167323;115304;79123;45348;22007;10894;6610681
"53 Distrito Federal";208455;199154;213351;253619;275299;273956;280676;257278;220117;186676;153523;118823;94004;68606;46277;33046;18297;9504;4169;2914830
"Total";14737740;15779109;16892243;17140200;17056423;17176808;17637407;15856255;13944226;12802397;11687344;9799612;7797050;5844703;4076511;2913596;1796449;973943;538633;204450649
 Fonte:
 
 IBGE/Diretoria de Pesquisas. Coordenação de População e Indicadores Sociais. Gerência de Estudos e Análises da Dinâmica Demográfica.
 Projeção da população do Brasil e Unidades da Federação por sexo e idade para o período 2000-2030
 
