 Projeção da População das Unidades da Federação por sexo e grupos de idade: 2000-2030
População residente por Unidade da Federação e Faixa Etária 1
Período:2007
"Unidade da Federação";"0 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 a 84 anos";"85 a 89 anos";"90 anos e mais";"Total"
"11 Rondônia";159847;162536;163878;163147;161684;148540;127829;114487;103045;84008;64062;46437;33231;24578;16922;10322;5291;2024;772;1592640
"12 Acre";90014;86715;79735;71696;68813;62222;50844;41973;34343;28111;22612;16698;12411;9250;6475;4496;2634;1212;743;690997
"13 Amazonas";420520;410837;397096;358544;343633;313165;260659;210527;176566;144386;111095;79694;56213;41807;29972;19089;10730;4721;2340;3391594
"14 Roraima";54553;53787;50150;45217;42824;37987;31866;27597;23777;19245;14652;10332;6637;4470;2925;1775;1012;424;176;429406
"15 Pará";844212;832976;809768;761338;739903;662377;553811;465418;389995;326007;263996;197344;146744;110815;77884;50446;27988;13030;6959;7281011
"16 Amapá";84657;82287;73407;66349;63675;57153;49449;41076;32451;25587;19083;13099;9157;6610;4490;2786;1507;715;530;634068
"17 Tocantins";146299;146106;141747;138473;136724;124457;103651;89909;77824;63781;51392;40251;30756;23919;17305;11255;6571;3047;1341;1354808
"21 Maranhão";764700;733825;684372;679344;668485;576973;442746;365559;321872;275111;228458;180469;141956;114446;85127;54912;33145;18585;11388;6381473
"22 Piauí";310375;318437;292606;312496;321736;287309;225036;191647;176939;153585;128039;104806;82136;66104;48083;32383;20076;9190;4043;3085026
"23 Ceará";796125;844572;843742;845839;820966;725841;611839;551259;507571;415042;332576;283227;222414;182374;134693;97417;66789;30884;13275;8326445
"24 Rio Grande do Norte";291382;300549;294708;308667;313467;281144;238388;219454;206348;167851;126838;108293;86604;68296;49582;37282;27127;13873;6699;3146552
"25 Paraíba";348692;347155;346285;361537;369439;336873;277767;246870;227690;188802;154011;134745;109831;92231;67552;48614;33928;17254;7746;3717022
"26 Pernambuco";826245;849819;825731;829442;845869;792528;689378;607406;543525;460043;374652;311342;243496;194789;142503;98689;62768;30412;14188;8742825
"27 Alagoas";342239;347471;331522;313376;307912;283723;235953;203661;178509;148456;122777;99026;76026;58017;41988;28054;16563;8352;4762;3148387
"28 Sergipe";202759;212591;203695;202299;204131;187990;160073;141402;124676;101160;80369;64288;49460;37272;26882;18790;11873;5873;2978;2038561
"29 Bahia";1323313;1379642;1401150;1392809;1480004;1389786;1132192;976677;870565;750802;610978;486492;382272;302878;224860;158803;99166;51162;31715;14445266
"31 Minas Gerais";1559692;1667253;1709015;1744793;1830407;1761837;1529097;1402507;1361049;1230567;1019715;801219;610269;480556;370827;259200;153456;73139;50144;19614742
"32 Espírito Santo";291383;310461;311462;321697;339635;327834;286592;260133;246514;222292;184453;135922;95895;74253;58094;41266;23742;10800;6186;3548614
"33 Rio de Janeiro";1158575;1281297;1297764;1241470;1308316;1335779;1253540;1164602;1139264;1077059;931413;751664;549519;421229;334861;245629;149127;68332;36598;15746038
"35 São Paulo";3213821;3387487;3334531;3464967;3745269;3700322;3415578;3155541;2960648;2685278;2263740;1787727;1301016;979636;745359;537123;322221;142797;71295;41214356
"41 Paraná";844563;895962;936483;931698;935678;892926;820100;788153;751473;655768;543455;433565;329842;251728;186780;126519;71702;31084;14393;10441872
"42 Santa Catarina";454887;496916;538266;552230;567143;525552;473921;463404;458951;403458;327962;255550;184246;136185;99691;67852;39863;17687;8236;6072000
"43 Rio Grande do Sul";786142;856449;890424;894618;940833;889970;784294;765562;799184;757094;650559;532551;407012;309588;237277;170332;101693;46769;24125;10844476
"50 Mato Grosso do Sul";219862;218268;225777;222477;223845;209306;188443;173820;163070;141040;112493;86066;64144;49369;36311;23666;13625;6501;3997;2382080
"51 Mato Grosso";276420;272130;280363;282117;283876;269081;242624;220190;198055;166175;128760;95204;69054;50280;34320;21094;11150;4822;3246;2908961
"52 Goiás";502853;529568;530287;535714;558563;550186;498763;451445;406002;341362;272006;210464;156627;119024;85720;54593;30817;13955;6949;5854898
"53 Distrito Federal";204139;209551;215124;218273;248961;255336;229525;196222;166559;134551;109270;82600;56519;41081;27548;16963;9800;4342;2273;2428637
"Total";16518269;17234647;17209088;17260627;17871791;16986197;14913958;13536501;12646465;11166621;9249416;7349075;5513487;4250785;3194031;2239350;1354364;630986;337097;189462755
 Fonte:
 
 IBGE/Diretoria de Pesquisas. Coordenação de População e Indicadores Sociais. Gerência de Estudos e Análises da Dinâmica Demográfica.
 Projeção da população do Brasil e Unidades da Federação por sexo e idade para o período 2000-2030
 
