 Projeção da População das Unidades da Federação por sexo e grupos de idade: 2000-2030
População residente por Unidade da Federação e Faixa Etária 1
Período:2016
"Unidade da Federação";"0 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 a 84 anos";"85 a 89 anos";"90 anos e mais";"Total"
"11 Rondônia";138798;148447;160831;159920;164414;165698;162932;143365;123075;109554;94908;73739;53516;36026;23645;15032;8225;3553;1601;1787279
"12 Acre";85089;87970;89273;84751;77159;69257;67150;58302;47579;39190;31229;25013;19068;13276;9441;6287;3683;1933;1037;816687
"13 Amazonas";398509;413511;418949;410841;393739;350855;336948;295075;244054;195524;164023;127150;93546;62561;41524;27430;16041;7562;3825;4001667
"14 Roraima";50165;53272;55862;54024;51312;46142;43215;36298;30165;25636;21403;16729;12306;8005;4554;2764;1445;661;271;514229
"15 Pará";762492;808112;832616;807168;776792;728512;713051;616541;517825;430002;355621;289888;224423;157020;109534;71808;41096;20036;10187;8272724
"16 Amapá";77764;82683;87567;84825;76499;68404;64959;55707;47994;38669;30400;23223;16570;10663;7170;4518;2641;1277;762;782295
"17 Tocantins";129286;138934;147166;142705;138090;135914;134561;119028;98093;85068;71445;57147;45133;33553;23612;16472;9825;4719;2151;1532902
"21 Maranhão";660953;719116;731590;663074;594854;604140;612054;515677;399396;334743;289108;237672;190194;140800;103272;73647;44781;22831;16134;6954036
"22 Piauí";244664;278026;305464;287064;251235;274421;291501;258276;203360;179311;162860;136199;109162;84294;60782;42846;24292;12196;5458;3211411
"23 Ceará";680505;735579;797874;812910;790962;793903;775327;675272;573630;519296;468454;367187;293066;237777;171433;129661;75913;43347;22336;8964432
"24 Rio Grande do Norte";256027;276186;297980;298727;293209;307167;308471;268731;229246;213219;194569;149097;111776;94276;68218;50469;29474;17579;10577;3474998
"25 Paraíba";305512;334450;350774;330641;321600;339700;354535;317125;262065;235932;211716;168214;135855;113772;84427;64663;36945;20593;10896;3999415
"26 Pernambuco";708688;773180;832891;821800;778341;783457;810939;744046;648421;568520;500753;408410;324184;256290;181791;131058;76464;40865;20674;9410772
"27 Alagoas";283664;310189;330927;318349;287330;275897;284897;258122;214155;186831;160890;130339;104643;78825;55958;37653;22506;11224;6128;3358527
"28 Sergipe";174361;188768;208653;210784;199512;198500;200857;179357;152476;134904;115264;90256;70309;53071;37304;24977;14972;7750;3704;2265779
"29 Bahia";1134070;1231011;1304754;1293537;1250665;1269632;1416516;1279251;1044879;911312;797133;670697;524279;402318;294095;210348;128731;71339;41999;15276566
"31 Minas Gerais";1352750;1458618;1586104;1658463;1678235;1711501;1810307;1690847;1456236;1354281;1290044;1123594;898664;675335;482822;348228;225318;121010;75203;20997560
"32 Espírito Santo";267843;285385;305158;325408;326385;336380;348867;323029;278592;254764;236797;206169;163874;113612;77065;55299;36628;20178;12264;3973697
"33 Rio de Janeiro";1017525;1076073;1174542;1310962;1308133;1241109;1312123;1296487;1203134;1115498;1084034;980131;811377;618244;415076;296138;196518;111343;67549;16635996
"35 São Paulo";2841127;3007247;3248414;3471622;3507418;3624994;3796446;3604391;3296932;3031378;2802604;2456760;1991836;1497174;1013276;709684;452438;252903;143055;44749699
"41 Paraná";738585;789685;856685;899572;926500;908809;921554;861010;791621;762416;710876;598153;482064;364377;257863;177692;110193;56923;28142;11242720
"42 Santa Catarina";438584;460841;495974;549016;595414;599100;598222;529394;480458;465965;449004;374899;297162;218710;146684;99587;60823;31947;18769;6910553
"43 Rio Grande do Sul";671105;715689;791356;848714;868182;862476;916253;835853;748134;742278;765220;692213;575843;448040;317154;220479;142773;78365;46373;11286500
"50 Mato Grosso do Sul";204543;216286;224483;220413;229282;225098;227574;205776;185308;168473;154821;127577;98759;71672;50048;34749;21166;10598;5760;2682386
"51 Mato Grosso";255724;270268;281713;276351;289928;289793;287803;263625;235533;211611;186079;149921;111179;77676;52230;33823;19044;8728;4502;3305531
"52 Goiás";457302;492609;543042;571829;584723;580494;586078;552510;489251;439904;385468;311932;239958;175695;120580;81985;47756;23162;11577;6695855
"53 Distrito Federal";209853;199738;211402;253094;280741;277248;283658;263847;228398;193403;160180;124103;98505;73282;49608;35124;20133;10263;4636;2977216
"Total";14545488;15551873;16672044;17166564;17040654;17068601;17666798;16246942;14230010;12947682;11894903;10116412;8097251;6116344;4259166;3002421;1869824;1012885;575570;206081432
 Fonte:
 
 IBGE/Diretoria de Pesquisas. Coordenação de População e Indicadores Sociais. Gerência de Estudos e Análises da Dinâmica Demográfica.
 Projeção da população do Brasil e Unidades da Federação por sexo e idade para o período 2000-2030
 
