"Mês Ano";"Programa Orçamentário";"Ação Orçamentária";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"10/2016";"2038 - DEMOCRACIA E APERFEICOAMENTO DA GESTAO PUBLICA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"248.097,73";"519.079,28";"0,00";
"04/2016";"2038 - DEMOCRACIA E APERFEICOAMENTO DA GESTAO PUBLICA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"2.296.897,00";"6.068.083,79";"0,00";"0,00";
"12/2016";"2038 - DEMOCRACIA E APERFEICOAMENTO DA GESTAO PUBLICA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"51.421,15";"185.512,95";"0,00";
"03/2016";"2038 - DEMOCRACIA E APERFEICOAMENTO DA GESTAO PUBLICA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"485.000,00";"95.649,07";"0,00";"0,00";
"05/2016";"2038 - DEMOCRACIA E APERFEICOAMENTO DA GESTAO PUBLICA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"1.292.219,28";"4.754.679,37";"0,00";
"07/2016";"2038 - DEMOCRACIA E APERFEICOAMENTO DA GESTAO PUBLICA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"1.271.520,15";"822.522,01";"0,00";
"02/2016";"2038 - DEMOCRACIA E APERFEICOAMENTO DA GESTAO PUBLICA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"10.000.000,00";"0,00";"0,00";"0,00";
"01/2016";"2038 - DEMOCRACIA E APERFEICOAMENTO DA GESTAO PUBLICA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"1.050.000,00";"0,00";"0,00";"0,00";
"06/2016";"2038 - DEMOCRACIA E APERFEICOAMENTO DA GESTAO PUBLICA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"1.535.857,82";"3.705.835,80";"0,00";
"08/2016";"2038 - DEMOCRACIA E APERFEICOAMENTO DA GESTAO PUBLICA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"910.981,84";"1.464.369,80";"0,00";
