 Projeção da População das Unidades da Federação por sexo e grupos de idade: 2000-2030
População residente por Unidade da Federação e Faixa Etária 1
Período:2000
"Unidade da Federação";"0 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 a 84 anos";"85 a 89 anos";"90 anos e mais";"Total"
"11 Rondônia";160573;164716;162206;157743;138457;121911;111570;98405;78415;59979;43885;33297;25994;18743;12548;7321;3428;1443;901;1401535
"12 Acre";84773;77034;70121;68763;58519;48003;39981;32366;27075;21497;16007;12595;9613;7218;5726;3717;2148;1125;1126;587407
"13 Amazonas";407544;380967;341901;336353;292814;243521;196800;169407;134588;104321;74591;56499;44494;33643;23865;15863;8399;4399;2555;2872524
"14 Roraima";48084;44383;39391;38071;32957;28693;25144;21747;17334;13036;9099;6080;4593;3169;2300;1458;766;351;173;336829
"15 Pará";835174;807497;764292;744362;629217;531838;445281;375977;314677;252696;188661;149438;116462;87149;62082;38924;23432;12634;7083;6386876
"16 Amapá";74672;66177;59781;58280;50478;44905;36462;29283;22862;17056;11601;8840;6478;4798;3135;1963;1157;730;672;499330
"17 Tocantins";142553;141040;139967;135902;116095;96241;85528;73197;60386;49366;38790;30610;25438;19085;13648;9087;5216;2622;1382;1186153
"21 Maranhão";734398;712033;743085;715380;554205;423058;362367;319260;270811;227538;180472;150411;127419;97744;68516;48560;31227;14214;14214;5794912
"22 Piauí";312483;310907;351779;347334;277730;213990;192648;175151;149506;125991;104093;84640;72953;54793;43492;29588;17347;8877;4148;2877450
"23 Ceará";852333;861425;875580;828954;691827;591751;546884;493095;387962;327562;280529;220992;196260;142892;124907;89733;48960;27062;13080;7601788
"24 Rio Grande do Norte";295277;298727;316654;311299;264060;228940;216997;197254;151884;121047;108415;83032;71336;51338;46978;35823;21330;11676;5818;2837885
"25 Paraíba";347630;362982;391696;390388;325046;266432;245810;221315;178628;153049;136508;111455;100445;72504;64619;49639;31212;16223;7258;3472839
"26 Pernambuco";851750;843264;874504;889446;781765;676822;600061;535510;444482;371275;314357;248429;214549;158683;129960;90849;54596;26080;13307;8119689
"27 Alagoas";357734;340084;335379;332216;281385;230467;203469;175451;144686;122250;98061;77914;62485;47832;35621;24337;15803;8368;4338;2897880
"28 Sergipe";207989;202893;206215;206518;179309;153307;137902;118515;94681;77488;62512;48856;38826;29829;23216;16472;10437;5684;3398;1824047
"29 Bahia";1433980;1461758;1517685;1606882;1340857;1090145;969565;855322;731722;591021;482813;386738;321768;245398;193845;131562;84667;46687;27133;13519548
"31 Minas Gerais";1680973;1732793;1794022;1879066;1701449;1472260;1410441;1356661;1189582;974178;768552;602990;504856;401024;298076;191878;110194;54523;54524;18178042
"32 Espírito Santo";307461;306624;320507;335606;309110;271055;255881;241681;212987;172157;123636;93217;77505;62595;46911;28671;16073;8191;4387;3194255
"33 Rio de Janeiro";1317637;1268490;1220221;1332836;1323343;1238216;1172659;1164871;1069546;914539;732207;541860;462361;379235;297582;189243;102084;50864;24569;14802363
"35 São Paulo";3372041;3306004;3417378;3672081;3580144;3349583;3134558;2948028;2623919;2182689;1711515;1260074;1033167;810657;636199;399069;213695;101952;46815;37799568
"41 Paraná";913429;946383;941284;954053;876915;814995;793406;738860;627521;523853;417311;326395;263734;204342;149334;92558;48310;22402;10250;9665335
"42 Santa Catarina";498681;526685;530720;539861;483904;458263;457910;445343;373736;307576;236442;174287;139426;106229;79867;51125;27046;11844;5200;5454145
"43 Rio Grande do Sul";877450;904770;916120;970274;861138;783499;795931;821103;741273;634732;518143;400890;326168;263202;201449;129346;72317;33977;14957;10266739
"50 Mato Grosso do Sul";215522;224577;219216;220084;196875;181179;168954;158635;132603;106801;81992;63481;51645;38770;27678;17763;9997;5024;5025;2125821
"51 Mato Grosso";267981;279274;275817;274473;253665;232478;213135;189677;155049;119570;89639;67661;51737;36626;24463;14317;7836;3798;3797;2560993
"52 Goiás";501257;501425;500405;523785;508267;463764;429012;381256;314531;252748;197416;151327;122508;89850;62534;39274;20644;10208;5385;5075596
"53 Distrito Federal";215131;200846;192870;227545;237214;213349;187669;160593;128714;104744;77850;53574;41302;26313;18399;10992;5746;2974;2973;2108798
"Total";17314510;17273758;17518796;18097555;16346745;14468665;13436025;12497963;10779160;8928759;7105097;5445582;4513522;3493661;2696950;1759132;994067;493932;284468;173448347
 Fonte:
 
 IBGE/Diretoria de Pesquisas. Coordenação de População e Indicadores Sociais. Gerência de Estudos e Análises da Dinâmica Demográfica.
 Projeção da população do Brasil e Unidades da Federação por sexo e idade para o período 2000-2030
 
