"Mês Ano";"Programa Orçamentário";"Ação Orçamentária";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"03/2015";"0135 - ASSENTAMENTOS PARA TRABALHADORES RURAIS";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"4.326,39";
"03/2015";"1220 - ASSISTÊNCIA AMBULATORIAL E HOSPITALAR ESPECIALIZADA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"34,66";
"03/2015";"1214 - ATENÇÃO BÁSICA EM SAÚDE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"6.639,40";
"04/2015";"1214 - ATENÇÃO BÁSICA EM SAÚDE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"1.057,26";
"02/2015";"1214 - ATENÇÃO BÁSICA EM SAÚDE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"19.246,22";
"01/2015";"1214 - ATENÇÃO BÁSICA EM SAÚDE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"4.629,88";
"05/2015";"1214 - ATENÇÃO BÁSICA EM SAÚDE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"879,76";
"06/2015";"2015 - FORTALECIMENTO DO SISTEMA UNICO DE SAUDE (SUS)";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"12.000.000,00";"5.296.213,42";"7.312.319,23";"98.480,35";
"07/2015";"2015 - FORTALECIMENTO DO SISTEMA UNICO DE SAUDE (SUS)";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"9.872.133,81";"9.872.133,81";"199.522,89";
"03/2015";"2015 - FORTALECIMENTO DO SISTEMA UNICO DE SAUDE (SUS)";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"7.300.002,00";"190.137,61";"0,00";"5.320.408,99";
"11/2015";"2015 - FORTALECIMENTO DO SISTEMA UNICO DE SAUDE (SUS)";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"16.055.741,82";"16.320.342,31";"15.670.283,11";"0,00";
"08/2015";"2015 - FORTALECIMENTO DO SISTEMA UNICO DE SAUDE (SUS)";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"1.200.000,00";"5.679.065,16";"4.298.272,13";"3.258,50";
