 Projeção da População das Unidades da Federação por sexo e grupos de idade: 2000-2030
População residente por Unidade da Federação e Faixa Etária 1
Período:2011
"Unidade da Federação";"0 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 a 84 anos";"85 a 89 anos";"90 anos e mais";"Total"
"11 Rondônia";149458;161657;160836;163657;163479;162544;144062;123895;111757;98108;77437;57910;40424;28312;19699;12253;6492;2658;1059;1685697
"12 Acre";88426;89548;85146;77797;69856;68026;59096;48212;39994;32235;26302;20470;14649;10795;7660;4996;3132;1460;816;748616
"13 Amazonas";414748;418905;409237;392262;352565;340882;299110;247730;198937;168689;133454;100531;69274;48333;34400;22581;12631;5915;2785;3672969
"14 Roraima";52833;55737;53452;50182;45456;43125;36683;30765;26483;22410;17660;13186;8967;5474;3555;2095;1156;525;199;469943
"15 Pará";814180;841367;820374;790964;741287;725418;627772;528250;441373;368363;304348;240793;173635;127710;90734;58526;33473;15462;7964;7751993
"16 Amapá";82002;85944;82060;74108;67131;64359;55664;48252;38958;30859;23896;17426;11503;8094;5471;3486;1936;901;588;702638
"17 Tocantins";139050;147585;144375;139673;136705;135254;119803;99512;86859;73633;59435;47462;36452;27006;20118;13302;7775;3670;1606;1439275
"21 Maranhão";732403;751079;705708;644751;638117;634399;531168;412113;347343;303681;254008;207398;158764;122515;93969;63590;36562;19920;13489;6670977
"22 Piauí";281159;312173;306312;277266;294488;303817;266426;209480;184802;168862;143493;117936;93770;71163;54949;35295;21608;10615;4386;3158000
"23 Ceará";739224;806224;837618;822996;818398;792035;687996;586558;533716;483731;382371;311023;259266;194782;158069;103441;70672;38338;16172;8642630
"24 Rio Grande do Norte";274717;296523;299363;295657;308934;309448;270222;231324;216002;199162;154699;117447;101386;76054;59849;39038;27940;16164;8132;3302061
"25 Paraíba";332378;352064;342330;337710;350011;359752;320399;265777;240818;217776;175241;144092;124251;96489;79395;51195;34492;19068;8844;3852082
"26 Pernambuco";772862;835788;840350;807282;806366;826909;756958;660963;583202;517758;427177;345632;281962;210388;163576;106570;67914;34609;16240;9062506
"27 Alagoas";316332;339282;337546;311385;291778;294925;266363;221489;193672;167583;137357;113004;87751;65502;47561;31593;18819;9146;5189;3256277
"28 Sergipe";187809;207463;211528;201998;200202;202117;180893;154094;137279;118570;93852;74451;58172;43060;30982;20682;13085;6588;3120;2145945
"29 Bahia";1239677;1327665;1363432;1337738;1326235;1452267;1306960;1070789;938272;826232;702900;558956;440160;335738;257326;174908;112708;58532;34910;14865405
"31 Minas Gerais";1457308;1589618;1673456;1703388;1733352;1826415;1706752;1475279;1380471;1323928;1164108;944589;727104;540990;415570;296829;185960;91639;57729;20294485
"32 Espírito Santo";280533;298986;317519;318681;330654;345894;322237;278999;256949;240875;212039;171128;121230;85135;64892;47228;30007;14283;8308;3745577
"33 Rio de Janeiro";1081641;1175101;1299737;1297640;1245220;1324683;1311062;1220054;1137169;1116050;1023242;861846;674803;472774;360742;264333;174716;86996;47686;16175495
"35 São Paulo";3028995;3241663;3395338;3414031;3587200;3804049;3630843;3330336;3078922;2874362;2547572;2096586;1612644;1132936;845158;594117;388822;188654;95970;42888198
"41 Paraná";790866;857041;901706;935587;918474;927486;868987;801911;774535;726627;618210;506328;392961;290365;213920;146737;88591;41284;18805;10820421
"42 Santa Catarina";443152;476417;522000;564877;576441;583253;519774;475390;465883;453095;382545;308097;232377;162260;117420;79200;48586;23423;12019;6446209
"43 Rio Grande do Sul";722801;797873;858209;885115;881843;933149;849705;761864;759016;786424;718441;606911;484207;356958;264552;189409;121631;59522;32231;11069861
"50 Mato Grosso do Sul";214124;223040;218936;227309;222821;225586;204946;185699;170471;158412;131949;103833;77409;56456;42033;28248;16550;8027;4456;2520305
"51 Mato Grosso";268633;279628;272827;285078;286089;286571;264253;237163;214558;190337;155410;117689;84833;59828;41651;26015;14311;6146;3527;3094547
"52 Goiás";478880;525444;544031;554786;562236;577251;549454;489872;443554;392466;321950;252357;190562;137282;100887;65790;37394;17780;8486;6250462
"53 Distrito Federal";203614;201245;221656;241112;250443;272999;258310;224916;191317;160669;127359;101609;74692;51009;37555;23048;13554;6507;2830;2664444
"Total";15587805;16695060;17225082;17153030;17205781;17822613;16415898;14420686;13192312;12220897;10516455;8558690;6633208;4817408;3631693;2504505;1590517;787832;417546;197397018
 Fonte:
 
 IBGE/Diretoria de Pesquisas. Coordenação de População e Indicadores Sociais. Gerência de Estudos e Análises da Dinâmica Demográfica.
 Projeção da população do Brasil e Unidades da Federação por sexo e idade para o período 2000-2030
 
