"Mês Ano";"Programa Orçamentário";"Ação Orçamentária";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"10/2017";"2038 - DEMOCRACIA E APERFEICOAMENTO DA GESTAO PUBLICA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"100.000,00";"1.594.764,73";"2.615.505,17";"0,00";
"01/2017";"2038 - DEMOCRACIA E APERFEICOAMENTO DA GESTAO PUBLICA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"4.450.000,00";"0,00";"0,00";"95.038,38";
"12/2017";"2038 - DEMOCRACIA E APERFEICOAMENTO DA GESTAO PUBLICA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"- 258.048,68";"4.720.210,54";"5.435.116,42";"0,00";
"02/2017";"2038 - DEMOCRACIA E APERFEICOAMENTO DA GESTAO PUBLICA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"- 30.000,00";"2.226.488,93";"973.819,17";"342.793,26";
"05/2017";"2038 - DEMOCRACIA E APERFEICOAMENTO DA GESTAO PUBLICA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"4.000.000,00";"1.614.504,47";"2.262.737,51";"212.063,37";
"03/2017";"2038 - DEMOCRACIA E APERFEICOAMENTO DA GESTAO PUBLICA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"1.500.000,00";"747.149,55";"1.993.373,85";"113.970,86";
"08/2017";"2038 - DEMOCRACIA E APERFEICOAMENTO DA GESTAO PUBLICA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"300.000,00";"723.607,43";"2.020.016,91";"0,00";
"11/2017";"2038 - DEMOCRACIA E APERFEICOAMENTO DA GESTAO PUBLICA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"281.515,98";"5.429.983,26";"5.003.166,49";"0,00";
"06/2017";"2038 - DEMOCRACIA E APERFEICOAMENTO DA GESTAO PUBLICA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"5.000.000,00";"386.693,91";"83.190,41";"2.609,96";
"04/2017";"2038 - DEMOCRACIA E APERFEICOAMENTO DA GESTAO PUBLICA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"732.183,50";"90.395,92";"5.680,00";
