 Projeção da População das Unidades da Federação por sexo e grupos de idade: 2000-2030
População residente por Unidade da Federação e Faixa Etária 1
Período:2010
"Unidade da Federação";"0 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 a 84 anos";"85 a 89 anos";"90 anos e mais";"Total"
"11 Rondônia";151892;164626;159536;163982;162973;160311;139564;121001;109801;95027;73873;54961;38288;27230;19037;11738;6184;2497;969;1663490
"12 Acre";88960;89432;83699;76269;69045;67350;56944;46450;38625;31018;25423;19530;13945;10411;7336;4810;3032;1378;790;734447
"13 Amazonas";417019;417725;407420;384813;347219;337374;289205;238452;191794;163503;127318;95443;65235;46418;33267;21646;12065;5617;2632;3604165
"14 Roraima";53396;56016;52463;49129;44554;42242;35325;29945;25824;21707;16910;12480;8347;5127;3416;1982;1128;496;191;460678
"15 Pará";823194;843476;816469;784525;737631;717853;606752;512388;427492;357400;294308;230341;165130;123352;87319;56252;32129;14669;7660;7638340
"16 Amapá";82889;86265;79487;72138;65869;63191;53775;46732;37162;29521;22639;16346;10720;7737;5180;3315;1811;845;567;686189
"17 Tocantins";141037;148679;142827;139339;136676;133819;115754;96446;84869;71163;57264;45648;34896;26017;19488;12710;7439;3503;1526;1419100
"21 Maranhão";743677;749451;697723;650479;647402;630307;507273;396553;340691;297245;247058;201185;153447;120078;92112;61373;35328;19577;12921;6603880
"22 Piauí";288922;317310;300027;283630;303442;304578;256374;202304;183181;165751;139332;114584;90800;69233;53679;33980;21345;10223;4251;3142946
"23 Ceará";752833;820913;837128;828317;821787;782786;666575;574521;527978;470954;366047;303462;251533;188518;154853;99165;70597;36619;15197;8569783
"24 Rio Grande do Norte";278834;300411;295954;298232;311293;305420;261105;226740;214210;193352;146481;113740;99056;72790;58160;37415;28086;15664;7704;3264647
"25 Paraíba";337051;353588;339794;342702;355661;358727;309400;258449;238121;211968;168460;141140;121497;93994;77850;49044;34662;18603;8526;3819237
"26 Pernambuco";786467;846027;832667;810583;815138;827456;739090;646111;572408;505609;412393;335760;273400;203649;160157;102568;67129;33382;15664;8985658
"27 Alagoas";323146;343390;335784;311184;294793;296052;258973;215500;190317;163157;133041;109775;84538;63342;46155;30546;18221;8849;5073;3231836
"28 Sergipe";191254;211441;208236;201639;200990;200657;175398;150101;134519;114561;89913;71821;55934;41374;29920;20052;12798;6380;3064;2120052
"29 Bahia";1261213;1342161;1373097;1349507;1355675;1466180;1261127;1038681;922867;807864;681454;538177;425538;325187;250389;168994;110055;56109;34037;14768312
"31 Minas Gerais";1481367;1618298;1678501;1713692;1752162;1830341;1665264;1444030;1376255;1308520;1129912;907641;695763;521191;405102;286826;178187;86318;55372;20134742
"32 Espírito Santo";283247;301314;317440;318809;332495;344358;313686;272236;254390;237160;205651;162910;113589;81537;63222;45680;28590;13226;7703;3697243
"33 Rio de Janeiro";1098619;1199124;1312314;1284564;1248049;1337911;1299681;1204161;1132305;1112903;1002747;834822;644863;451727;355301;258733;169758;81893;44531;16074006
"35 São Paulo";3073135;3293563;3381602;3421462;3620000;3803993;3577155;3281731;3045023;2836090;2482213;2019122;1535284;1078321;822410;575269;375826;175592;88901;42486692
"41 Paraná";803186;872536;907538;936757;919038;925905;854878;795357;771155;712868;597957;488418;376077;278662;206992;141201;84503;38429;17504;10728961
"42 Santa Catarina";445098;481150;527088;563192;572470;573810;504280;470486;464509;445042;367319;295324;219768;153718;113104;75754;46512;21863;10931;6351418
"43 Rio Grande do Sul";736518;819186;863810;888941;890736;935908;829668;756936;768162;787111;701877;588557;465128;341997;257155;184232;117219;55890;29999;11019030
"50 Mato Grosso do Sul";215715;223950;218698;226878;222130;223624;199841;182569;168254;155246;126753;99315;73688;54227;40725;26969;15776;7605;4294;2486257
"51 Mato Grosso";270814;280882;271732;285244;285149;283879;258454;232606;210587;185044;148654;111692;80408;57080;39826;24633;13496;5741;3427;3049348
"52 Goiás";484368;532704;537789;550573;559653;573554;538057;478626;434972;380980;308794;241445;181611;131453;97525;62658;35669;16809;8026;6155266
"53 Distrito Federal";203106;202969;221754;235677;247077;269967;251879;216799;184693;154077;122033;97049;69964;47608;35366;20962;12604;5863;2627;2602074
"Total";15816957;16916587;17200577;17172257;17319107;17797553;16025477;14135911;13050164;12014841;10195824;8250688;6348447;4621978;3535046;2418507;1540149;743640;394087;195497797
 Fonte:
 
 IBGE/Diretoria de Pesquisas. Coordenação de População e Indicadores Sociais. Gerência de Estudos e Análises da Dinâmica Demográfica.
 Projeção da população do Brasil e Unidades da Federação por sexo e idade para o período 2000-2030
 
