 Projeção da População das Unidades da Federação por sexo e grupos de idade: 2000-2030
População residente por Unidade da Federação e Faixa Etária 1
Período:2001
"Unidade da Federação";"0 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 a 84 anos";"85 a 89 anos";"90 anos e mais";"Total"
"11 Rondônia";162084;164597;162826;159773;142699;124738;113458;101469;82132;63156;46299;34614;26880;19559;13118;7729;3665;1398;854;1431048
"12 Acre";86180;78556;70920;69419;60681;49780;41356;33596;27971;22499;16789;13029;9975;7398;5787;3819;2151;1128;975;602009
"13 Amazonas";409695;388903;347660;340216;303214;253324;204318;174721;140876;109728;79074;58642;45753;34713;24467;16170;8616;4043;2594;2946727
"14 Roraima";49773;46132;40847;39328;34564;29806;26086;22699;18323;13945;9859;6523;4795;3340;2335;1511;787;351;174;351178
"15 Pará";838558;813930;768024;752113;650825;548146;459495;387240;325129;263801;197924;154191;120341;89961;63977;40255;23468;12475;6830;6516683
"16 Amapá";77654;68418;61287;59711;52592;46634;38413;30747;24195;18202;12457;9248;6813;5004;3301;2043;1164;693;626;519202
"17 Tocantins";144253;141435;140025;137473;120429;99611;87782;75857;62686;51273;40419;31613;26050;19736;14028;9320;5346;2588;1349;1211273
"21 Maranhão";742268;706192;733493;720746;580607;439890;369456;326053;278256;234455;186545;153068;129374;100536;70266;48770;31513;15485;12291;5879264
"22 Piauí";318704;304158;343002;348694;289990;222162;194707;178531;153896;129643;107403;86679;74168;56324;43634;30151;17645;8549;4264;2912304
"23 Ceará";852700;856510;873543;840954;716051;605355;553563;506999;405448;335587;288905;227893;199770;147970;124090;92580;51436;24842;14239;7718435
"24 Rio Grande do Norte";298343;295866;313931;315198;273221;233608;218968;203328;160461;125007;110976;86609;73190;53182;46435;36636;22238;11251;6213;2884661
"25 Paraíba";348729;356646;384863;391151;336395;273770;248326;227129;185596;156014;139309;114021;102042;74999;63589;49923;31460;15952;7382;3507296
"26 Pernambuco";856764;837978;863824;887961;799730;691491;610456;547444;459393;380990;322884;255296;217939;163342;129884;92341;55299;26493;13086;8212595
"27 Alagoas";358742;340450;333020;332012;289740;236974;207121;180221;149246;125629;101580;80347;64073;49074;36262;24606;15612;8420;4285;2937414
"28 Sergipe";210954;202920;205078;207741;184711;157241;140620;122570;98753;80221;64884;50743;40073;30620;23565;16780;10529;5587;3289;1856879
"29 Bahia";1419689;1448196;1488517;1595731;1390737;1123650;985438;874385;754042;612809;498347;398088;329383;252506;197108;135420;85388;47195;27593;13664222
"31 Minas Gerais";1675650;1722396;1774986;1875194;1743454;1503546;1413995;1371626;1224348;1012445;801424;623655;515431;412312;308368;201021;114541;56271;51945;18402608
"32 Espírito Santo";307133;305987;317839;336108;316869;277433;258116;245095;219286;180604;131656;96904;79069;64158;48653;30374;16712;8316;4539;3244851
"33 Rio de Janeiro";1305699;1282846;1218521;1319484;1333974;1253245;1175991;1166005;1088876;941732;763668;564170;466760;384825;304035;198889;107619;50717;27120;14954176
"35 São Paulo";3391771;3305385;3389453;3669549;3628022;3393668;3164232;2982364;2687920;2261690;1792632;1317977;1055848;830605;651659;421591;225092;102882;51052;38323392
"41 Paraná";907091;944101;939271;954779;890637;821207;796637;752648;647948;541958;434616;338326;270675;210314;154308;97261;50697;22503;11089;9786066
"42 Santa Catarina";491560;525745;531174;545559;496619;461702;458263;452754;388750;320387;249376;183073;143678;109745;82037;53417;28504;12051;5583;5539977
"43 Rio Grande do Sul";872241;901392;907780;968606;882650;789036;786717;820479;758338;653553;537947;416533;333507;268467;206839;135464;75263;35057;16123;10365992
"50 Mato Grosso do Sul";215735;224985;219884;221961;201836;184230;171104;161777;137859;111403;85837;65794;53022;40303;28686;18465;10390;5080;4699;2163050
"51 Mato Grosso";269069;279131;276817;277126;259317;236975;217077;195011;161963;125810;94345;70649;53816;38378;25669;15110;8114;3888;3589;2611854
"52 Goiás";507934;506048;503018;527377;519555;475379;438096;393325;328338;264351;207101;157801;126503;94073;65323;41334;21924;10127;5860;5193467
"53 Distrito Federal";214664;204022;192871;225864;239837;219300;192344;165413;133081;108752;82340;56567;42904;28103;19080;11691;6079;2941;2753;2148606
"Total";17333637;17252925;17402474;18119828;16738956;14751901;13572135;12699486;11103110;9245644;7404596;5652053;4611832;3589547;2756503;1832671;1031252;496283;290396;175885229
 Fonte:
 
 IBGE/Diretoria de Pesquisas. Coordenação de População e Indicadores Sociais. Gerência de Estudos e Análises da Dinâmica Demográfica.
 Projeção da população do Brasil e Unidades da Federação por sexo e idade para o período 2000-2030
 
