 Projeção da População das Unidades da Federação por sexo e grupos de idade: 2000-2030
População residente por Unidade da Federação e Faixa Etária 1
Período:2003
"Unidade da Federação";"0 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 a 84 anos";"85 a 89 anos";"90 anos e mais";"Total"
"11 Rondônia";164048;163286;164152;161327;151645;131422;117086;106567;89982;69572;51850;37664;28628;21311;14275;8577;4183;1512;763;1487850
"12 Acre";88441;81533;73581;69311;65097;53640;44070;36408;29698;24480;18666;13908;10776;7912;5852;4102;2223;1143;809;631650
"13 Amazonas";413550;401571;364805;341172;324298;272636;222423;183631;154557;120140;89667;63644;48505;36992;26025;16809;9292;3957;2453;3096127
"14 Roraima";52513;49175;44225;40977;38094;32161;27964;24411;20331;15727;11444;7643;5178;3759;2429;1619;846;369;170;379035
"15 Pará";844575;823498;782292;751727;697929;580377;490041;410733;345953;284926;220042;164204;128706;96259;67855;43623;24072;12361;6692;6775865
"16 Amapá";82079;72964;65081;61372;57489;49530;42619;33790;26899;20527;14572;10072;7599;5419;3695;2228;1234;667;562;558398
"17 Tocantins";147049;142245;140449;138321;128776;107524;91743;81164;67632;55078;43984;34077;27115;21267;14877;9843;5687;2656;1296;1260783
"21 Maranhão";758396;703638;711559;715082;633582;479535;384672;338849;294186;246998;201159;159281;132648;106139;74887;49490;32019;17040;10814;6049974
"22 Piauí";326757;298398;321938;343883;312288;242875;198644;184047;163084;136995;114113;92203;75462;60672;43598;31391;18334;8451;4245;2977378
"23 Ceará";845573;848778;864360;852192;766867;638334;566040;525877;447610;352798;302862;248300;200985;164724;120344;97295;57060;24773;13942;7938714
"24 Rio Grande do Norte";301759;292830;306589;317212;293011;246025;222120;211224;179725;135717;113657;96427;74918;59770;44471;38003;24145;11579;6368;2975550
"25 Paraíba";351981;346999;370139;385039;358313;292754;252511;235823;202221;163242;143233;122232;101913;83615;60770;50490;32191;16077;7432;3576975
"26 Pernambuco";859923;833686;845448;869756;835847;722301;632999;566655;492005;402934;337716;275178;220456;177729;128452;96059;57080;27627;13151;8395002
"27 Alagoas";357850;342459;330509;325185;305189;252315;213488;189219;159535;131824;109173;85794;67324;51967;37667;25577;15477;8366;4428;3013346
"28 Sergipe";213477;204245;203495;206430;195748;166455;145422;129930;107916;85858;69807;55028;42611;32658;24244;17486;10840;5553;3135;1920338
"29 Bahia";1390610;1424501;1450182;1521241;1488437;1203243;1015416;912241;794908;661146;529659;426075;341950;271416;201554;145217;87633;48108;29094;13942631
"31 Minas Gerais";1652716;1702491;1749669;1829141;1818944;1589361;1422513;1387080;1288810;1089157;870661;675349;535956;436600;327897;221197;124811;60891;49187;18832431
"32 Espírito Santo";304127;306949;313951;331605;331142;293953;262930;250537;230689;195958;150002;106331;82524;67542;51715;34344;18341;8850;4950;3346440
"33 Rio de Janeiro";1262990;1305920;1240598;1270637;1349968;1286476;1194300;1156442;1121999;993133;821945;625916;474590;399183;312774;219015;119771;54358;30269;15240284
"35 São Paulo";3385852;3323934;3355672;3602178;3722849;3493159;3234625;3034684;2802642;2416449;1950321;1467838;1098940;883370;672681;470834;251294;111720;57143;39336185
"41 Paraná";890666;933051;941384;942433;921026;839514;798890;772089;690875;576686;471177;366510;285324;223577;163897;107434;56496;24350;12083;10017462
"42 Santa Catarina";476823;520629;535396;546378;529005;473077;459320;459199;421164;344719;276195;204870;152351;118489;86255;58496;31812;13383;6231;5713792
"43 Rio Grande do Sul";852489;890550;902356;937974;931167;811329;772053;804211;790538;689242;576291;454188;350022;280459;216205;148741;82268;38208;18487;10546778
"50 Mato Grosso do Sul";217221;223470;223062;221217;213438;190433;176365;165654;148826;120544;94373;71404;55656;43637;30826;20055;11310;5412;4244;2237147
"51 Mato Grosso";272470;276498;279689;278786;271005;246601;224925;204140;175692;138882;104724;77515;58029;42302;28143;16996;8825;4108;3355;2712685
"52 Goiás";515229;514056;512182;527986;539473;502029;454925;415064;356814;288251;227478;173587;133719;103375;71158;45531;24794;10887;6277;5422815
"53 Distrito Federal";211354;209424;199164;217782;245178;232760;202429;174806;143835;115827;91708;64419;45426;32936;20458;13411;6975;3161;2420;2233473
"Total";17240518;17236778;17291927;17806344;17525805;15429819;13870533;12994475;11748126;9876810;8006479;6179657;4787311;3833079;2853004;1993863;1119013;525567;300000;180619108
 Fonte:
 
 IBGE/Diretoria de Pesquisas. Coordenação de População e Indicadores Sociais. Gerência de Estudos e Análises da Dinâmica Demográfica.
 Projeção da população do Brasil e Unidades da Federação por sexo e idade para o período 2000-2030
 
