 Projeção da População das Unidades da Federação por sexo e grupos de idade: 2000-2030
População residente por Unidade da Federação e Faixa Etária 1
Período:2017
"Unidade da Federação";"0 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 a 84 anos";"85 a 89 anos";"90 anos e mais";"Total"
"11 Rondônia";136935;146162;157997;160870;163763;166208;164202;148120;126311;111403;97600;77342;56297;38195;24685;15590;8631;3751;1726;1805788
"12 Acre";84259;87397;89212;86026;78688;70456;67292;60541;49444;40529;32553;25844;19977;14041;9786;6600;3866;1999;1109;829619
"13 Amazonas";394089;410945;419272;412577;400355;358392;337923;305354;253230;203723;168458;133549;98258;66792;43405;28455;16796;7982;4059;4063614
"14 Roraima";49630;52707;55486;54872;52274;47278;43777;37813;31049;26308;22053;17489;12977;8599;4923;2874;1549;688;290;522636
"15 Pará";751214;798502;828806;810863;782274;734589;714659;639252;533090;444325;366580;299525;234009;165970;113426;74830;42959;20949;10806;8366628
"16 Amapá";77056;81759;87237;86907;78573;70011;65688;57912;49308;40601;31766;24479;17625;11530;7497;4804;2784;1374;811;797722
"17 Tocantins";127485;136931;145806;144095;138455;136089;135229;123103;101602;86831;73909;59405;46892;35125;24638;16989;10355;4967;2288;1550194
"21 Maranhão";646128;706547;730542;671639;592118;594348;611058;540105;416440;341295;295131;244778;195718;146476;105678;75158;46585;23854;16631;7000229
"22 Piauí";238949;270271;299849;292127;247563;265062;288856;267756;211878;180637;165518;140419;112361;87074;62862;43645;25551;12382;5725;3218485
"23 Ceará";670786;722618;783504;811304;786703;789233;780629;697980;587448;524575;478151;385771;300519;244267;179138;130958;80756;43225;23667;9021232
"24 Rio Grande do Norte";252960;272112;294028;301324;291447;304113;310543;278625;234885;214672;198900;157981;116221;95683;72097;51409;31469;17433;11101;3507003
"25 Paraíba";300286;329366;348581;333649;317693;333849;353125;328245;270852;238176;216550;175887;139090;115933;87687;65260;39457;20492;11380;4025558
"26 Pernambuco";697854;759569;821841;827400;777197;775956;805334;762805;663744;579892;511351;424170;334659;264023;190016;133404;80970;41605;21917;9473707
"27 Alagoas";277968;303477;326318;319421;288178;273883;281756;265388;220893;189761;165134;134978;107574;82076;58081;38930;23453;11697;6416;3375382
"28 Sergipe";172499;185531;204703;212952;200261;197933;200962;185090;156925;137384;118990;94473;72862;55247;38972;25902;15587;7967;3876;2288116
"29 Bahia";1114626;1209459;1288624;1284744;1241561;1248361;1384930;1326250;1080577;925223;815230;690333;545808;416020;305173;215779;134535;73097;44117;15344447
"31 Minas Gerais";1334539;1435441;1558130;1649375;1668564;1697305;1792038;1730438;1495614;1357990;1300518;1156229;934765;706237;504113;357424;234231;126643;79942;21119536
"32 Espírito Santo";265458;282587;302515;324669;326847;334799;348164;331356;286776;257322;240053;212186;171439;121681;80996;56902;38062;21226;13318;4016356
"33 Rio de Janeiro";1007396;1060864;1151870;1291946;1320106;1248043;1290440;1307104;1220721;1124711;1083288;999482;837197;645566;439540;300981;202457;114786;72458;16718956
"35 São Paulo";2809738;2966241;3198567;3471690;3507130;3600193;3773618;3660446;3350727;3069949;2835987;2518709;2067628;1570436;1074667;729815;472143;261848;155334;45094866
"41 Paraná";729485;778399;842192;892581;923741;911171;918516;877276;800695;764598;722286;619358;499116;381316;270075;184221;115250;60010;30606;11320892
"42 Santa Catarina";438051;459178;491607;542961;595391;603962;603428;548221;486994;467516;454239;391268;309279;231273;156002;103548;64213;33607;20423;7001161
"43 Rio Grande do Sul";663013;703530;772055;840081;863604;858258;903890;859086;757052;734617;759826;708730;593281;466018;333010;227628;147677;81621;49918;11322895
"50 Mato Grosso do Sul";202359;214617;223472;221010;229067;226598;227907;211778;188540;171134;157177;132964;103132;75498;52393;35915;22278;11190;6118;2713147
"51 Mato Grosso";252844;267922;280215;277740;288887;290999;289058;269670;240311;215559;190816;156553;117147;82118;54961;35413;20225;9294;4812;3344544
"52 Goiás";454001;487133;535554;575984;588324;584142;586765;562932;501742;447775;395957;325127;250628;184370;126628;84647;50374;24370;12319;6778772
"53 Distrito Federal";211170;200696;209944;251291;285493;282562;284088;270344;237176;200201;166726;130124;102639;78081;53482;36957;22277;11024;5169;3039444
"Total";14360778;15329961;16447927;17150098;17034257;17003793;17563875;16652990;14554024;13096707;12064747;10437153;8397098;6389645;4473931;3084038;1954490;1049081;616336;207660929
 Fonte:
 
 IBGE/Diretoria de Pesquisas. Coordenação de População e Indicadores Sociais. Gerência de Estudos e Análises da Dinâmica Demográfica.
 Projeção da população do Brasil e Unidades da Federação por sexo e idade para o período 2000-2030
 
