"Unidade da Federação";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004/Jan";"2004/Fev";"2004/Mar";"2004/Abr";"2004/Mai";"2004/Jun";"2004/Jul";"2004/Ago";"2004/Set";"2004/Out";"2004/Nov";"2004/Dez";"2005/Jan";"2005/Fev";"2005/Mar";"2005/Abr";"2005/Mai";"2005/Jun";"2005/Jul";"2005/Ago";"2005/Set";"2005/Out";"2005/Nov";"2005/Dez";"2006/Jan";"2006/Fev";"2006/Mar";"2006/Abr";"2006/Mai";"2006/Jun";"2006/Jul";"2006/Ago";"2006/Set";"2006/Out";"2006/Nov";"2006/Dez";"2007/Jan";"2007/Fev";"2007/Mar";"2007/Abr";"2007/Mai";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Out";"2011/Nov";"2011/Set";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";" Total"
"24 Rio Grande do Norte";"892862";"1124588";"1374695";"1593657";"1686305";"2113101";"3076836";"2398252";"2486625";"2208708";"97903";"82450";"113053";"346444";"96383";"401604";"102495";"780200";"93608";"94027";"95210";"85804";"101454";"85578";"101425";"330556";"104248";"384856";"101490";"433901";"100027";"100188";"101468";"82408";"85442";"75623";"87779";"310118";"104114";"378013";"93789";"382725";"87351";"85029";"84249";"67448";"88371";"77969";"88762";"335881";"106779";"367613";"90542";"381490";"93509";"97744";"91037";"78231";"105946";"91932";"89295";"329855";"104996";"361694";"92169";"1807631";"86999";"85706";"89965";"79800";"95568";"90140";"103216";"361385";"110028";"385134";"117563";"111135";"378013";"109719";"112152";"94988";"90195";"82132";"110164";"350204";"112881";"364114";"127474";"424523";"119685";"112730";"125557";"122478";"115975";"120352";"118801";"127008";"133988";"143718";"138180";"179164";"135050";"130980";"146565";"116141";"141475";"128835";"154450";"143631";"160800";"160979";"160943";"205492";"141224";"139613";"127017";"105993";"119734";"109859";"127254";"151793";"193679";"399542";"438274";"233015";"200459";"147431";"133055";"120564";"137579";"129799";"194180";"149152";"123611";"120314";"138334";"140485";"168046";"156154";"190968";"260019";"129715";"118443";"157709";"138008";"153044";"121258";"132507";"228228";"144297";"131350";"120482";"97827";"103360";"88187";"101142";"106373";"107450";"99703";"109135";"106212";"195214";"94585";"95162";"74771";"90397";"84629";"105622";"85945";"96736";"85133";"102360";"110134";"219945";"100403";"97808";"84398";"117749";"94124";"115842";"119497";"111842";"99019";"132421";"165542";"114657";"120357";"105335";"102440";"123035";"104295";"102980";"117957";"122188";"96672";"129091";"158457";"145985";"144470";"122405";"74907";"116174";"127548";"99369";"65585";"109117";"89129";"121935";"149340";"116227";"142369";"4164";"50508753"
"25 Paraíba";"0";"779729";"1620745";"3235523";"2694232";"2761255";"2640373";"2778642";"3083571";"3026344";"135971";"119061";"145846";"472171";"148328";"496027";"130300";"910520";"129193";"114728";"117662";"97455";"122238";"107753";"116976";"445284";"145253";"494023";"126168";"564484";"130265";"139708";"132385";"117458";"109074";"101977";"117811";"401983";"141015";"484156";"135535";"494810";"123530";"124606";"133838";"117276";"132245";"118774";"140695";"441169";"138280";"502192";"143006";"586778";"189343";"178087";"148518";"120158";"150260";"114621";"120420";"457632";"132306";"482241";"128276";"1055138";"177688";"188614";"187754";"513457";"128546";"118407";"306987";"572833";"184690";"487433";"161302";"148643";"514760";"155237";"151407";"128926";"122126";"110631";"160277";"493969";"148452";"446032";"144577";"464736";"103990";"177925";"297657";"185057";"137672";"153170";"151506";"146333";"162041";"174167";"160260";"206162";"159828";"163183";"158916";"135675";"163863";"162376";"174775";"162305";"172538";"171985";"175207";"183092";"144719";"156203";"142356";"132340";"146295";"136711";"140130";"158626";"317261";"502744";"422445";"258533";"258712";"166172";"159338";"140825";"158620";"161166";"225663";"157499";"141472";"124252";"146689";"151415";"198921";"155684";"220413";"286173";"149297";"135825";"172302";"142597";"149039";"124018";"153619";"228069";"154847";"153740";"150816";"117785";"131635";"111420";"119305";"124620";"122987";"108746";"128984";"125392";"237694";"102821";"111916";"90247";"157455";"140102";"164025";"135847";"138220";"120954";"134615";"154615";"289340";"136203";"129681";"95504";"152268";"119749";"161706";"158160";"144548";"129372";"170265";"235847";"160395";"167752";"142577";"113640";"170937";"152615";"151597";"184099";"171292";"134489";"184791";"185651";"216765";"200838";"185556";"88082";"149420";"147830";"118533";"84341";"127827";"112176";"167714";"139378";"119965";"146186";"574";"62355182"
"26 Pernambuco";"3433375";"6212277";"6013353";"6364081";"5992067";"7849485";"9532845";"8956393";"7879981";"6829469";"315107";"297906";"329566";"1007616";"338716";"1287098";"329888";"2467801";"365001";"297499";"372022";"294182";"293242";"294744";"315004";"1008115";"382533";"1374099";"346454";"1420020";"339990";"375055";"371380";"315489";"352272";"287894";"304877";"988444";"314839";"1192756";"288990";"1203078";"295703";"283716";"284906";"264868";"733118";"315128";"315701";"992704";"321628";"1239945";"321260";"1348792";"355937";"298607";"293620";"267476";"315964";"295005";"285585";"988174";"281811";"1188596";"304445";"3994470";"311583";"284733";"288847";"255652";"307631";"293220";"331243";"1132260";"345681";"1168180";"356358";"355150";"1169463";"331628";"398457";"301697";"289917";"265304";"321492";"1074849";"335432";"1103817";"327749";"1125346";"286317";"318258";"379455";"376601";"364084";"404118";"351205";"401524";"408944";"512142";"455643";"532473";"395828";"400925";"396728";"382710";"421153";"444019";"435762";"444204";"430208";"492012";"464307";"570493";"442891";"394657";"400821";"365917";"343923";"360438";"383277";"411742";"694591";"1275620";"1138633";"602440";"591743";"392927";"357929";"450817";"425856";"412818";"957653";"475267";"463800";"392264";"436815";"460350";"550022";"479239";"620958";"508433";"429818";"399425";"537102";"450254";"643546";"433514";"446337";"737128";"511236";"465325";"431405";"359296";"369056";"311768";"331928";"361090";"365317";"346862";"389355";"387128";"661678";"371252";"346473";"276753";"422629";"383156";"410320";"329854";"383684";"345853";"362836";"386123";"651838";"383071";"354247";"299447";"415863";"340578";"361216";"391477";"382189";"361534";"446142";"645254";"403445";"417654";"357439";"280053";"415113";"344810";"358676";"392795";"435169";"302452";"388709";"604679";"593968";"458249";"367544";"242880";"386318";"364172";"493622";"261540";"421986";"366355";"489047";"460546";"389236";"490422";"22750";"170388791"
"27 Alagoas";"0";"1093767";"1424137";"1802078";"1897345";"2746091";"4181914";"2831806";"3767158";"2639163";"123281";"127826";"123912";"342370";"135245";"766323";"159231";"868808";"143183";"127425";"149999";"162462";"127728";"118085";"148859";"377506";"142548";"493946";"143808";"504957";"136527";"146487";"152388";"124498";"127378";"106553";"110846";"303365";"106933";"442407";"115352";"468725";"102527";"107106";"109699";"93172";"123097";"107748";"122085";"322092";"123997";"449448";"126141";"448497";"107728";"118903";"104970";"27764";"122322";"107600";"109644";"311714";"104264";"417826";"90409";"1252552";"272104";"107734";"103223";"88529";"124366";"112111";"129679";"348052";"143461";"456845";"142408";"141334";"472257";"128525";"128213";"108463";"117479";"97894";"119914";"315424";"122534";"382464";"130348";"453807";"111353";"123561";"143366";"125821";"145600";"139002";"133112";"136593";"141693";"162595";"131142";"162691";"130543";"129318";"133986";"111852";"170321";"152456";"169726";"155746";"166704";"167651";"166144";"216542";"163932";"159094";"146247";"114029";"140749";"126735";"139006";"181956";"273832";"367915";"401640";"244216";"206375";"162174";"149139";"118167";"163010";"150074";"228430";"164204";"154229";"132360";"162676";"153496";"222596";"160240";"215813";"275634";"158071";"126066";"186727";"162786";"181424";"134515";"172228";"232995";"2373099";"160518";"138230";"104542";"124978";"93289";"114441";"120705";"118965";"112603";"128968";"125422";"251274";"105404";"123912";"86176";"149985";"124581";"163535";"121554";"143161";"118350";"145628";"169863";"271869";"160731";"149259";"109438";"161721";"125681";"161213";"164629";"173917";"135818";"184007";"228572";"147462";"151992";"135996";"114947";"141738";"141536";"130575";"151912";"161969";"120032";"161336";"175269";"172033";"177756";"163344";"92239";"146257";"148631";"137435";"78619";"110735";"99401";"143045";"318023";"148435";"136548";"4919";"61289413"
"28 Sergipe";"0";"1244236";"1158405";"1220961";"1145494";"2026214";"1871118";"2151968";"1700224";"1921528";"71355";"77855";"75110";"211439";"84747";"291950";"73751";"445207";"241573";"83399";"72111";"61530";"62280";"59856";"67768";"202034";"74976";"277996";"62815";"281497";"69916";"71482";"76273";"65549";"60686";"60271";"65336";"196029";"66749";"275553";"63149";"275010";"99064";"118382";"109861";"92413";"81112";"73228";"72773";"214152";"74373";"285984";"72956";"289566";"76624";"71726";"68055";"63558";"80380";"70184";"67263";"202086";"66214";"276580";"73825";"954000";"71955";"67233";"69733";"59319";"63584";"67200";"75675";"218450";"75362";"281280";"81219";"82765";"281668";"77242";"80511";"71483";"61364";"63402";"81410";"232711";"87347";"274088";"77905";"285670";"80433";"83185";"72640";"77618";"87854";"86468";"83571";"97751";"101468";"111205";"99983";"121934";"101438";"96634";"103404";"91720";"103835";"105377";"101487";"101401";"108072";"109186";"107856";"120480";"97974";"95883";"90910";"62519";"89898";"83207";"88519";"99513";"120220";"304622";"258148";"163842";"153214";"112034";"100751";"92485";"103653";"86180";"135980";"91300";"100379";"92415";"94793";"99968";"129198";"105844";"132716";"175684";"97211";"89128";"117555";"97962";"108315";"86518";"98301";"149725";"104764";"93485";"89610";"70279";"74255";"64057";"76252";"74385";"74046";"62862";"78789";"79006";"146445";"66878";"74407";"50416";"86816";"71368";"95922";"74121";"87493";"70428";"78465";"87610";"190029";"90343";"80554";"64543";"101967";"81977";"85538";"91294";"88229";"80807";"112735";"144764";"90263";"100097";"92158";"65903";"102526";"83179";"85848";"95396";"103439";"68847";"94788";"110549";"109721";"102830";"102750";"63335";"79592";"84938";"84375";"55422";"71144";"68231";"80920";"92196";"65416";"83460";"1178";"37153339"
"29 Bahia";"6099252";"4356615";"5576198";"7641690";"8814911";"12098406";"15148885";"14990428";"16724931";"11799356";"469544";"564713";"476363";"1605863";"699803";"2354380";"498529";"3628269";"1081446";"457152";"540793";"649931";"450278";"484487";"509314";"1456886";"652013";"2253423";"604604";"2292323";"1021512";"627121";"571902";"731793";"466464";"469605";"458149";"1477185";"621859";"2071307";"528868";"1984706";"632872";"489388";"559396";"773987";"1155080";"1234332";"559854";"1543494";"637381";"1981722";"563816";"1894546";"630054";"520748";"522896";"555223";"748521";"744376";"469846";"1498203";"536484";"1888523";"509206";"6660916";"718245";"523190";"471113";"1007920";"454716";"501231";"500281";"1680195";"583484";"1847484";"593539";"584192";"1829517";"506469";"529814";"494455";"431720";"580544";"592354";"1914759";"813429";"1818283";"628459";"2021335";"578586";"553539";"556932";"577105";"563224";"621598";"522007";"641718";"708980";"746097";"729272";"864849";"750430";"648829";"718965";"602894";"652023";"645895";"687892";"689593";"748587";"765228";"713117";"815343";"745318";"646764";"604763";"529335";"504457";"529088";"590328";"680636";"937986";"1535531";"2010621";"1033613";"1175609";"723822";"645779";"708298";"711727";"646982";"897982";"806532";"761320";"609132";"645768";"713556";"840491";"745428";"903974";"1056612";"588268";"566824";"727977";"647413";"722077";"563637";"597625";"1069848";"692346";"621953";"559100";"438178";"497727";"454087";"432415";"459112";"488364";"399977";"442440";"459702";"982280";"489579";"391584";"324868";"667082";"738160";"725835";"980058";"766537";"579016";"518667";"534903";"942995";"507644";"457917";"337040";"725879";"481329";"487051";"507777";"490120";"401669";"593224";"789317";"505773";"537588";"454527";"346051";"552713";"461852";"475235";"526198";"537135";"385528";"566430";"789298";"684294";"753918";"556705";"336454";"496083";"558425";"516422";"367621";"514089";"511031";"602110";"568740";"479380";"480700";"4737";"263411642"
"31 Minas Gerais";"0";"0";"0";"10308837";"11316601";"19681975";"18771161";"21661166";"15768385";"15315432";"665103";"584212";"738850";"2436181";"845715";"2711925";"653336";"4780674";"777787";"588649";"680577";"569297";"668572";"628994";"681697";"2254167";"896721";"2636496";"633846";"2578465";"632289";"657008";"662458";"582467";"636999";"552768";"660706";"2225209";"827247";"2475715";"607391";"2340601";"630546";"1397150";"927691";"599657";"710946";"602518";"709073";"2518176";"1059543";"2526281";"703976";"2427147";"667323";"701858";"641845";"525032";"1883132";"886075";"671144";"2410374";"761395";"2317221";"597810";"8078823";"1312741";"672926";"662150";"3344906";"630033";"613724";"717166";"2668398";"826309";"2375441";"694741";"672065";"2187324";"633058";"1046236";"616708";"693606";"657648";"866520";"2794367";"1036498";"2344979";"820838";"2269125";"710513";"720655";"738599";"666419";"762032";"763794";"854134";"1032324";"1066514";"1115593";"884124";"973893";"813541";"835616";"770141";"718327";"939550";"823517";"929378";"836152";"1259549";"1189699";"1005867";"1235316";"795603";"811313";"764302";"676506";"753904";"721006";"788151";"1316933";"1262975";"2762896";"2478969";"1549856";"1309769";"874338";"772112";"656934";"855823";"772794";"1210087";"931057";"906918";"769794";"865642";"851121";"1221621";"862008";"1123694";"1422673";"824451";"689283";"1092930";"812452";"1231139";"871977";"856139";"1277479";"857243";"749219";"724197";"618966";"671504";"597784";"647107";"770400";"812154";"678786";"646794";"697912";"1755230";"635080";"604034";"521816";"2914616";"2398815";"2235132";"946841";"951262";"732754";"719462";"777025";"1300804";"722015";"655257";"550275";"1786511";"1149941";"972457";"953230";"986900";"846994";"1033489";"1585334";"823964";"890445";"732328";"594591";"847333";"698731";"752646";"933847";"1042488";"757639";"862703";"1041318";"1120250";"995763";"798155";"533886";"830645";"946533";"828468";"728504";"1043018";"951797";"1100479";"1052668";"717742";"676423";"29263";"336736785"
"32 Espírito Santo";"1296432";"2549855";"1810593";"1749539";"3115713";"2709205";"2649509";"2989388";"2287449";"2519385";"115375";"116904";"187086";"471767";"188356";"534051";"140476";"826196";"181300";"119152";"145760";"101401";"111140";"107742";"113410";"371001";"167085";"473034";"122639";"465037";"117557";"114618";"121587";"109887";"100954";"91021";"113347";"362049";"131296";"432138";"116014";"463903";"114822";"115143";"110093";"100817";"143257";"122053";"122411";"386544";"148096";"460052";"178373";"462707";"148710";"144469";"131858";"102547";"194801";"124255";"118820";"398326";"137485";"451737";"124486";"1586615";"126317";"111919";"107011";"96475";"121480";"106698";"129376";"426462";"142745";"436160";"140318";"124241";"412418";"114704";"120391";"105822";"106104";"99377";"170247";"439545";"166822";"416408";"135686";"403693";"127735";"144336";"134783";"134416";"140854";"129287";"138264";"146075";"176964";"183380";"168914";"181023";"143259";"140086";"157890";"136821";"169119";"147445";"171448";"153626";"211581";"227847";"200562";"219417";"148994";"156411";"155409";"128241";"148516";"125573";"129991";"191577";"205809";"394366";"599480";"226755";"267762";"168176";"156923";"136961";"177704";"154030";"225084";"182195";"173829";"156301";"197075";"188765";"248160";"181381";"205903";"322324";"162717";"135208";"212055";"152302";"201526";"171019";"181293";"220302";"182349";"158071";"132776";"112053";"124089";"107666";"130029";"142054";"141012";"146563";"154429";"175444";"273522";"125476";"134711";"116525";"564454";"717687";"1355934";"290703";"252166";"177641";"161468";"186496";"265599";"160740";"153234";"412835";"176905";"131112";"165681";"166344";"190123";"160364";"190396";"363259";"166891";"177619";"180304";"128373";"184476";"157426";"167541";"194183";"214029";"148810";"200287";"307281";"208899";"206267";"188374";"130513";"200497";"189514";"164002";"106386";"166416";"151259";"191063";"245231";"183068";"182238";"13618";"66328971"
"33 Rio de Janeiro";"0";"4418954";"3624884";"7275325";"7678953";"10757180";"12023435";"13904327";"11594352";"9446515";"483743";"417159";"499371";"1813756";"505076";"1980944";"521428";"2753577";"675224";"467755";"457538";"468593";"481630";"447439";"493680";"1822879";"591321";"1979235";"524458";"1975128";"509604";"480800";"461640";"459020";"490437";"416580";"493275";"1776992";"527735";"1737272";"514695";"1720339";"469177";"509333";"501477";"517384";"522814";"458111";"488674";"1847912";"2292899";"2157171";"511004";"1734002";"473734";"453667";"417648";"410837";"722718";"489038";"452538";"1833345";"468172";"1683337";"436938";"5464403";"2305833";"1189775";"765362";"506256";"486029";"455434";"499626";"2087558";"548560";"1739459";"518918";"526157";"1701191";"429541";"491719";"441285";"452446";"396021";"472446";"1947458";"452673";"1523650";"452264";"1582008";"481307";"567160";"569562";"533850";"619477";"575243";"572153";"583744";"639334";"676479";"678226";"714801";"560680";"567265";"596251";"558891";"691191";"602171";"684105";"627509";"688870";"793110";"717727";"806936";"558723";"625462";"558513";"534905";"572959";"509565";"550368";"590944";"1474786";"1566601";"2448415";"914058";"890731";"597464";"558933";"665988";"652854";"621150";"863524";"675672";"670009";"598144";"698787";"770527";"917480";"789512";"814053";"1266177";"631261";"593623";"784384";"668243";"726308";"670869";"784586";"1109468";"691805";"649288";"613269";"537749";"564729";"448627";"575154";"593437";"562658";"610785";"636327";"630708";"1093133";"557253";"537111";"483783";"748692";"903110";"3212753";"1678508";"1281897";"971020";"994110";"831295";"1082316";"722764";"628466";"586294";"2737960";"786633";"738968";"693943";"722558";"894724";"526092";"733727";"469581";"695909";"484834";"446073";"545274";"451791";"485633";"468606";"522841";"466326";"573431";"588376";"557506";"568687";"715198";"328222";"496133";"720660";"733289";"275859";"397930";"418610";"449319";"454566";"375620";"551134";"20094";"245514486"
"35 São Paulo";"0";"2694310";"2685627";"12155615";"21983469";"28686694";"33610215";"41813474";"30439591";"27201692";"1365624";"1362285";"1409604";"4517822";"1909120";"5229588";"1526698";"7492184";"3835104";"1303751";"1314188";"1201637";"1407254";"1255723";"1403814";"4217723";"2050686";"5241880";"1473923";"5027578";"1309101";"1278860";"1331192";"1173510";"1308976";"1110223";"1377064";"4201632";"2019520";"4909514";"1448624";"4788022";"1240196";"1273219";"1234744";"1119557";"1442595";"1297354";"1430034";"4565793";"2120308";"5095886";"1391169";"4814802";"1336843";"1412821";"1346221";"1133153";"2503923";"1708831";"1451486";"4765701";"1827212";"5486196";"1752540";"17949413";"1569997";"1327473";"1262275";"1185319";"1570029";"1391643";"1892648";"6012178";"2379911";"5313877";"1646326";"1559254";"4790004";"1395523";"1421096";"1268341";"1550321";"1381597";"1818434";"5532617";"2007380";"4835276";"1626144";"4828180";"1581467";"1553765";"1772546";"1543774";"1811493";"1755580";"1768870";"2051747";"2714831";"3068991";"2233442";"2218467";"1685078";"1712319";"1772434";"1548486";"2031723";"1862198";"2028092";"1913646";"2905845";"2730361";"2420873";"2666495";"1830957";"1944156";"1810348";"1540107";"1793968";"2075346";"1667806";"2313898";"2404392";"4843116";"6993115";"3361612";"4067111";"2249341";"1829937";"1676892";"2031756";"1846263";"2665728";"2349321";"2441958";"1871428";"2078950";"2106061";"2605839";"2248382";"2241169";"3624974";"1943913";"1708947";"2241756";"1979642";"2411876";"2003047";"2006800";"2598492";"2046431";"1985774";"1832304";"1562954";"1630707";"1277832";"1423987";"1468870";"1543681";"1247191";"1514037";"1593258";"3440931";"1433144";"1443437";"1261905";"2267634";"1970074";"2517585";"1969515";"2249874";"1699499";"1731916";"1784813";"3069372";"2356930";"2195140";"2173120";"4813977";"1854712";"1964611";"1807622";"2049883";"1805497";"2367778";"3076235";"1658712";"1814536";"1636340";"1400693";"1993758";"1724581";"1843941";"1952853";"2221480";"1828486";"3456743";"3783315";"2299153";"2151487";"1690105";"1236439";"2008732";"1849751";"1824068";"1319583";"1992567";"1852773";"2146786";"2033061";"1551376";"1020717";"28230";"670852374"
"41 Paraná";"0";"3546002";"3282837";"6709434";"4531876";"11553319";"8916069";"8484257";"7459354";"6608905";"299192";"277958";"345190";"1222325";"375125";"1338450";"311399";"2411377";"397937";"331728";"434507";"327077";"350775";"341889";"430532";"1349340";"536270";"1403644";"356745";"1329570";"325538";"343167";"375577";"327854";"322622";"302194";"342504";"1117658";"434907";"1249086";"353136";"1219057";"308008";"326419";"311730";"277452";"337567";"318509";"356234";"1145104";"441435";"1265082";"322862";"1231763";"341008";"352560";"341985";"299706";"914969";"492755";"673512";"1536054";"459226";"1227098";"318905";"4486097";"384651";"323354";"313719";"284441";"366902";"337452";"388163";"1405596";"449174";"1257067";"362237";"349497";"1234951";"369792";"375131";"323401";"348092";"340596";"435238";"1474609";"541910";"1246010";"415133";"1207714";"352343";"363959";"403895";"363184";"433299";"435436";"461650";"542124";"584602";"552076";"481204";"542936";"442794";"438050";"482578";"372618";"475529";"448377";"490309";"458500";"615755";"721056";"727383";"838796";"480531";"483875";"436520";"356229";"453368";"393866";"414815";"601313";"773736";"1348133";"1544120";"869986";"894326";"501437";"450888";"381554";"488359";"432079";"643313";"563225";"507886";"449908";"501265";"469783";"718230";"535241";"681355";"798937";"490718";"440603";"576205";"511142";"675643";"499923";"491831";"681644";"413775";"418292";"408993";"351617";"407525";"349115";"362472";"441771";"418936";"389027";"366785";"388760";"801879";"357797";"366653";"295274";"522172";"432436";"535545";"386745";"455082";"376301";"392202";"455089";"671563";"386973";"396730";"303297";"539350";"402712";"424774";"473445";"452080";"414971";"516821";"1038753";"428974";"537281";"803637";"435666";"595064";"820894";"683813";"665428";"626749";"485889";"530001";"694421";"636914";"743531";"587319";"348371";"515602";"818541";"629981";"368921";"581361";"487672";"554669";"493717";"429622";"293538";"9062";"179090043"
"42 Santa Catarina";"2942516";"2591758";"2102093";"2759330";"3420888";"3689189";"5197414";"4286101";"5113876";"3549033";"161127";"185406";"162273";"639107";"189469";"728157";"168329";"1073069";"462011";"173860";"172443";"135093";"184180";"167110";"171267";"582607";"218885";"730435";"195653";"722609";"168487";"175945";"180276";"142710";"166862";"147914";"173736";"584461";"229945";"672462";"173291";"667292";"161381";"175988";"172240";"137129";"192996";"164021";"184198";"618325";"254122";"650046";"175685";"669640";"196618";"210489";"189154";"131978";"282486";"208273";"193962";"667083";"293621";"678426";"218024";"2609902";"183927";"170674";"170762";"144051";"227964";"196115";"224835";"783464";"323828";"699820";"214706";"204453";"660914";"194525";"207254";"157826";"214055";"177885";"291572";"817637";"278970";"706691";"232010";"682898";"204716";"205828";"254809";"196936";"281731";"254987";"257754";"299887";"385011";"362655";"303430";"336733";"268015";"271347";"283991";"202316";"305535";"289454";"298285";"270773";"484744";"530718";"411127";"415750";"259427";"272624";"265903";"188643";"274711";"237203";"243209";"389978";"369277";"789455";"1131764";"612655";"452859";"285538";"257093";"189413";"314936";"285108";"413808";"374898";"399734";"302615";"481405";"464536";"549206";"364023";"394170";"512800";"342390";"328484";"396709";"317385";"541770";"354333";"353943";"447089";"332109";"274618";"260526";"188940";"245580";"198845";"224256";"487594";"441951";"296201";"253214";"232039";"507469";"212560";"227961";"165436";"302788";"224463";"293385";"268071";"318633";"299837";"251367";"259585";"439619";"248757";"237344";"174296";"331577";"265955";"271575";"314792";"358236";"303154";"321760";"676128";"287366";"403075";"381897";"249577";"331420";"634251";"678717";"904674";"565736";"350078";"394311";"427337";"409293";"501493";"496679";"218026";"414911";"618982";"375219";"270681";"363479";"317799";"332057";"269845";"255624";"157556";"8021";"106825643"
"43 Rio Grande do Sul";"0";"4945493";"4818668";"4990553";"4771179";"6822400";"7238590";"7925240";"9210525";"6588661";"325751";"320765";"353542";"1315204";"503212";"1321981";"324595";"2439169";"401087";"306981";"312928";"293942";"320091";"300073";"329928";"1243624";"423259";"1264556";"307967";"1181336";"304804";"308262";"331028";"311004";"310600";"290495";"317602";"1196990";"449946";"1153494";"287908";"1093255";"275413";"275146";"272902";"254850";"281129";"273937";"298192";"1226292";"417693";"1112801";"311124";"1212127";"374868";"402808";"392342";"296310";"412679";"338631";"298224";"1268011";"395764";"1119244";"294184";"2455944";"1274657";"540508";"343534";"917295";"940767";"607787";"479033";"2391558";"1538289";"1350963";"366274";"302535";"1016735";"297041";"300223";"295500";"271015";"258689";"308719";"1371720";"332200";"1015727";"305134";"1009148";"282288";"310131";"342119";"351874";"356969";"363906";"371554";"382832";"444672";"638554";"557882";"492630";"362806";"352006";"366646";"315632";"393587";"372908";"412639";"384828";"810393";"779681";"556967";"622867";"345232";"376086";"358721";"324781";"347193";"330706";"351944";"488157";"1060693";"1471896";"1584134";"617060";"540602";"389312";"333102";"286607";"438850";"368522";"600275";"476824";"410840";"342389";"404155";"402385";"560950";"396058";"466790";"766983";"364414";"319915";"492957";"398984";"384641";"350584";"398206";"662851";"384850";"366514";"342902";"291908";"304964";"259275";"293748";"324586";"325015";"319271";"301472";"328141";"872214";"305225";"323729";"267920";"399192";"321151";"482349";"328527";"363383";"323308";"331673";"410541";"598841";"341111";"329653";"277719";"439847";"336067";"368871";"385514";"356740";"349803";"440469";"591486";"330354";"394171";"358794";"279979";"398592";"349745";"365809";"446235";"422462";"358681";"436266";"433914";"377091";"493289";"422994";"284444";"430452";"573611";"387457";"272554";"382166";"389218";"436184";"383029";"323672";"373639";"15468";"161700773"
