 Projeção da População das Unidades da Federação por sexo e grupos de idade: 2000-2030
População residente por Unidade da Federação e Faixa Etária 1
Período:2018
"Unidade da Federação";"0 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 a 84 anos";"85 a 89 anos";"90 anos e mais";"Total"
"11 Rondônia";135197;143984;155249;161590;162756;166668;164781;152783;129896;113295;100004;80982;59132;40537;25841;16177;9052;3959;1858;1823741
"12 Acre";83368;86784;89005;87106;80165;71934;67152;62688;51394;41894;33964;26686;20880;14870;10153;6926;4069;2066;1186;842290
"13 Amazonas";389272;408076;418794;414338;405700;367325;337703;315212;262400;212710;172714;140079;102973;71360;45527;29544;17561;8435;4310;4124033
"14 Roraima";49079;52155;55029;55588;53106;48546;44171;39367;32015;27004;22670;18257;13655;9209;5343;2998;1660;716;311;530879
"15 Pará";739766;788469;823374;814354;786516;742332;712789;661722;548673;459212;377945;309201;243351;175619;117640;77974;44920;21903;11469;8457229
"16 Amapá";76379;80839;86695;88622;80676;71876;66180;60203;50545;42585;33190;25747;18700;12490;7856;5107;2929;1476;866;812961
"17 Tocantins";125747;134932;144209;145247;138850;136365;135335;126912;105448;88585;76341;61752;48677;36767;25770;17505;10907;5230;2437;1567016
"21 Maranhão";631676;692827;726716;679452;592745;584400;606084;563094;435293;348745;301032;252038;201100;152588;108387;76642;48373;24981;17166;7043339
"22 Piauí";233828;262586;293628;295211;246645;255426;284396;275943;221480;182366;167817;144640;115634;89886;65188;44352;26908;12605;5997;3224536
"23 Ceará";661640;710250;769274;807009;783582;783643;782589;720216;603209;530253;485615;405407;308850;250282;187921;131724;86126;43198;24956;9075744
"24 Rio Grande do Norte";250143;268140;289983;302812;290728;300647;310914;288414;241547;216218;202091;167081;121528;96779;76315;52186;33751;17330;11611;3538218
"25 Paraíba";295318;323992;345678;336621;314838;327864;349716;338408;280815;240626;220582;183998;142849;117841;91416;65514;42250;20474;11862;4050662
"26 Pernambuco";687786;746139;809919;830163;778170;769502;796080;780197;679627;591969;520971;440276;345948;271523;199271;135509;85902;42454;23228;9534634
"27 Alagoas";272540;296820;321091;319471;289583;272614;277310;271780;228206;192738;169210;139834;110501;85433;60356;40265;24451;12202;6737;3391142
"28 Sergipe";170864;182544;200796;213907;201450;197585;200112;190549;161775;139842;122475;98886;75539;57490;40748;26872;16265;8201;4061;2309961
"29 Bahia";1095952;1188026;1270734;1275233;1233861;1232784;1342242;1368294;1119872;940131;833073;709007;568220;430194;317264;221111;140806;74898;46371;15408073
"31 Minas Gerais";1317056;1413397;1530920;1636431;1659162;1686611;1764833;1764672;1540497;1364137;1307281;1186481;970693;738125;527790;367133;243336;132303;85012;21235870
"32 Espírito Santo";263084;279857;299730;322881;328071;333596;345949;338822;295892;260291;242933;217763;178590;130192;85537;58674;39524;22252;14441;4058079
"33 Rio de Janeiro";997589;1047121;1130600;1267546;1329441;1261708;1265057;1314705;1238516;1137098;1080327;1016524;862048;671913;467183;306749;208727;118038;77531;16798421
"35 São Paulo";2779776;2927354;3150195;3456471;3514416;3581970;3734488;3711972;3407028;3111787;2865803;2576201;2142068;1642946;1143015;751783;493424;270474;168159;45429330
"41 Paraná";720682;767739;828289;884829;918405;914811;912487;893172;811624;766254;731318;640494;516085;398666;283309;191180;120517;63157;33244;11396262
"42 Santa Catarina";437451;457911;487775;536801;593618;609124;605615;567990;495357;469434;457222;407550;321370;244020;166298;107807;67834;35335;22170;7090682
"43 Rio Grande do Sul";655263;692557;754370;829068;857498;856921;885625;881723;769423;728894;750903;723609;610243;483730;350127;235518;152869;84833;53630;11356804
"50 Mato Grosso do Sul";200173;212834;222277;222130;227955;228484;227172;217878;191963;174076;158998;138284;107539;79525;54986;37131;23412;11815;6510;2743142
"51 Mato Grosso";249971;265450;278474;279706;286961;292301;289371;275540;245322;219553;195153;163047;123280;86833;57935;37070;21472;9889;5159;3382487
"52 Goiás";451005;482103;528234;578223;591433;588819;585898;572134;515016;455627;405760;338340;261596;193337;133309;87377;53075;25654;13107;6860047
"53 Distrito Federal";212361;201937;208977;248552;289181;289236;283164;276469;246008;207213;173186;136677;106632;82920;57765;38762;24573;11860;5747;3101220
"Total";14182966;15114823;16220015;17089362;17035512;16973092;17377213;17030859;14908841;13262537;12208578;10748841;8697681;6665075;4712250;3169590;2044693;1085738;659136;209186802
 Fonte:
 
 IBGE/Diretoria de Pesquisas. Coordenação de População e Indicadores Sociais. Gerência de Estudos e Análises da Dinâmica Demográfica.
 Projeção da população do Brasil e Unidades da Federação por sexo e idade para o período 2000-2030
 
