"Unidade da Federação";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";" Total"
"25 Paraíba";"0";"160631";"323476";"399938";"390460";"1294082";"1381868";"1463207";"1404985";"1320266";"1667647";"1591982";"1585239";"1612476";"1554440";"1576092";"1547527";"894610";"815971";"963126";"1185760";"1091866";"933768";"829275";"874037";"920580";"589110";"28372419"
"26 Pernambuco";"527256";"1191428";"1130697";"1127214";"1121468";"2953463";"3297620";"3308789";"3296188";"3220240";"3926773";"3728745";"3749519";"3819635";"3657438";"3740084";"3579686";"2264640";"2122509";"2334099";"3098012";"3270650";"2643965";"2168658";"2134687";"2031792";"1423528";"70868783"
"27 Alagoas";"0";"178302";"299818";"304852";"329757";"1086283";"1196604";"1247844";"1287595";"1217980";"1700397";"1442279";"1399699";"1361961";"1306284";"1393230";"1310661";"736926";"747338";"840673";"1124168";"1114133";"871125";"814193";"837011";"767530";"515680";"25432323"
"28 Sergipe";"0";"237617";"242572";"250807";"247439";"812313";"796246";"804610";"774545";"744964";"897079";"838923";"867588";"905294";"879278";"873594";"851030";"530191";"503959";"600576";"733179";"714208";"550085";"486988";"506148";"486048";"319514";"16454795"
"29 Bahia";"994130";"722003";"994587";"1358301";"1484387";"4745022";"5131168";"5641897";"5316305";"5128938";"7135200";"6057144";"5968643";"5877705";"5676499";"5812462";"5651502";"3319588";"3222132";"3568011";"4552090";"4326712";"3231420";"2807224";"2759546";"2804288";"2025324";"106312228"
"31 Minas Gerais";"0";"0";"0";"1796982";"1813559";"6477184";"6961244";"7888036";"6637190";"6206032";"7495444";"7335918";"7275695";"7274762";"7066647";"7223274";"7414886";"4334695";"3998586";"4784266";"5908170";"5849587";"5192087";"4260981";"4539266";"4243312";"3386436";"135364239"
"32 Espírito Santo";"256603";"397685";"411887";"378316";"440462";"1141437";"1214667";"1233262";"1176631";"1155743";"1412016";"1337730";"1350601";"1342801";"1312947";"1327848";"1318686";"818355";"783980";"882253";"1221179";"1220295";"1018857";"859976";"906757";"870182";"691681";"26482837"
"33 Rio de Janeiro";"0";"906575";"779704";"1409487";"1519764";"4872715";"5385808";"5263389";"5118198";"4888554";"5935843";"5737326";"5590987";"5644703";"5418391";"5589928";"5397199";"3271147";"3034612";"3452853";"4792974";"4947569";"4269415";"3737730";"3335398";"2849756";"1781924";"104931949"
"35 São Paulo";"0";"2694310";"2685627";"4052597";"4325523";"12673295";"13842017";"13526097";"12763696";"12355211";"14952220";"14359891";"14512994";"14465201";"14273089";"14739743";"14671666";"9151228";"8821199";"10297960";"13755784";"13859265";"10615615";"9459351";"9870064";"9478261";"7104678";"283306582"
"41 Paraná";"0";"610367";"904583";"1258159";"1056241";"3018261";"3750742";"3771473";"3547068";"3317332";"4267323";"3820725";"3912713";"3938642";"3806543";"3934622";"3911435";"2415754";"2330836";"2728430";"3393790";"3425656";"2978313";"2650964";"2670101";"2722941";"2000649";"76143663"
"42 Santa Catarina";"437164";"529270";"476830";"616029";"618793";"1734001";"1908182";"1929301";"1808394";"1767949";"2101818";"2049994";"2095555";"2082713";"2073138";"2135501";"2158029";"1322747";"1277068";"1467668";"2047870";"2066422";"1789983";"1524972";"1663123";"1696509";"1278823";"42657846"
"43 Rio Grande do Sul";"0";"1096689";"1011888";"990645";"972207";"3397620";"3539671";"3605219";"3443527";"3280867";"3875775";"3626787";"3604845";"3507487";"3417420";"3480942";"3411391";"1972214";"1861452";"2326594";"2980144";"2808159";"2601252";"2191862";"2310376";"2348252";"1834378";"69497663"
"50 Mato Grosso do Sul";"0";"0";"160964";"261788";"282453";"827388";"896172";"937187";"856199";"814843";"971764";"945137";"974966";"987297";"974861";"1023854";"993508";"647692";"639969";"792827";"1186794";"1097563";"937525";"783989";"836498";"840905";"542279";"20214422"
"51 Mato Grosso";"174627";"196972";"201338";"334670";"358484";"907069";"1091090";"1089117";"1056545";"1014615";"1286775";"1266069";"1239094";"1263603";"1225930";"1232897";"1151191";"762483";"754284";"882673";"1204418";"1218562";"1117107";"897547";"906135";"928276";"728566";"24490137"
"52 Goiás";"209872";"590541";"574266";"591826";"634802";"1805937";"2040674";"2069557";"2055137";"1978045";"2634225";"2339329";"2366568";"2428428";"2322350";"2351035";"2274623";"1515006";"1375687";"1637161";"2068419";"2012864";"1808414";"1498663";"1539523";"1466240";"1145760";"45334952"
"53 Distrito Federal";"0";"1297";"219000";"258032";"289995";"796601";"820415";"798164";"760178";"776852";"985282";"954613";"989724";"1035290";"1000883";"1002519";"977874";"582929";"615304";"858143";"1000131";"732494";"1331740";"694232";"743681";"732326";"608957";"19566656"
"Total";"5002593";"12379535";"14040241";"19655709";"20327528";"61179053";"67270520";"69655072";"66135589";"63525217";"79342932";"74720359";"74923836";"75177841";"72922335";"74411131";"73202221";"44640471";"42720182";"49110580";"63842324";"63025044";"53191124";"45232082";"46271951";"44888238";"32660310";"1409454018"
