 Projeção da População das Unidades da Federação por sexo e grupos de idade: 2000-2030
População residente por Unidade da Federação e Faixa Etária 1
Período:2002
"Unidade da Federação";"0 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 a 84 anos";"85 a 89 anos";"90 anos e mais";"Total"
"11 Rondônia";163196;164136;163505;160872;147210;127907;115245;104174;86038;66338;48975;36055;27744;20424;13692;8148;3918;1431;803;1459811
"12 Acre";87409;80069;72108;69508;62938;51664;42702;34958;28828;23498;17687;13455;10365;7633;5819;3954;2177;1135;874;616781
"13 Amazonas";411637;395900;355541;341337;313988;263002;212965;179278;147647;114946;84171;60982;47074;35834;25195;16473;8930;3927;2536;3021363
"14 Roraima";51244;47746;42483;40250;36316;30954;27024;23583;19329;14842;10643;7050;4980;3543;2376;1567;815;358;172;365275
"15 Pará";841665;819377;774297;753747;674524;564102;474471;398776;335523;274516;208554;158974;124435;93008;65875;41862;23670;12382;6721;6646479
"16 Amapá";80057;70690;63075;60674;54999;48130;40496;32241;25541;19357;13462;9642;7191;5207;3491;2129;1191;673;590;538836
"17 Tocantins";145775;141831;140189;138198;124748;103407;89781;78534;65114;53164;42162;32775;26582;20481;14433;9569;5504;2606;1318;1236171
"21 Maranhão";750771;703130;722649;720220;607992;458745;376580;332536;286150;240849;193579;155955;131048;103377;72438;49037;31770;16388;11272;5964486
"22 Piauí";323784;299767;332749;347478;301864;231929;196460;181483;158497;133294;110742;89245;74900;58393;43591;30783;17976;8434;4280;2945649
"23 Ceará";850552;852140;869587;848495;741771;620855;559630;517692;425951;343709;296205;237369;200844;155768;122168;95182;54212;24291;14300;7830721
"24 Rio Grande do Norte";300593;293809;310457;317073;283174;239312;220510;207894;169982;129888;112520;91289;74196;56189;45437;37398;23197;11275;6342;2930535
"25 Paraíba";350312;351218;377551;389171;347869;282647;250306;231913;193679;159333;141440;117802;102277;78989;62097;50250;31799;15941;7418;3542012
"26 Pernambuco";859693;834670;854043;880773;818544;706607;621351;557591;475530;391495;330486;264541;219482;170096;129083;94190;56120;27027;13053;8304375
"27 Alagoas";358854;341233;331408;329358;297977;244345;210293;184828;154271;128741;105329;82973;65661;50471;36931;25035;15499;8405;4336;2975948
"28 Sergipe";212810;203345;204160;207568;190370;161643;143034;126382;103230;82970;67315;52818;41316;31576;23889;17124;10666;5547;3204;1888967
"29 Bahia";1405424;1435829;1466462;1564615;1442363;1161550;999909;893475;775026;636484;513753;411389;335802;261490;199380;140174;86317;47636;28313;13805391
"31 Minas Gerais";1666107;1712354;1760566;1856763;1783954;1543598;1416955;1381295;1257888;1050932;835495;647971;525357;424315;318211;210933;119385;58428;50214;18620721
"32 Espírito Santo";306108;306060;315650;334544;324404;285223;260307;247999;225219;188524;140577;101238;80680;65821;50231;32311;17457;8541;4728;3295622
"33 Rio de Janeiro";1287095;1295764;1226203;1296941;1343470;1269720;1183424;1162329;1106693;968025;793473;592949;470045;391715;308834;209059;113509;52046;28863;15100157
"35 São Paulo";3396789;3311298;3369253;3643564;3677408;3441998;3197586;3010309;2747755;2339946;1872098;1388534;1076233;855579;662931;446207;237558;106410;54262;38835718
"41 Paraná";899222;939814;939637;950127;906033;829433;798056;763638;669459;559386;452670;351769;277719;216773;159096;102285;53435;23223;11637;9903412
"42 Santa Catarina";484097;523811;532918;547232;512266;466487;458587;457113;404987;332590;262694;193375;147816;113914;84096;55915;30099;12603;5901;5626501
"43 Rio Grande do Sul";863612;896814;903637;956429;907296;798410;778387;814255;775342;671674;557298;434555;341243;274224;211659;142063;78563;36505;17283;10459249
"50 Mato Grosso do Sul";216221;224675;221276;222111;207579;187245;173592;164008;143379;115956;89988;68440;54313;41953;29724;19236;10829;5218;4440;2200183
"51 Mato Grosso";270488;278255;278196;278403;265232;241669;220979;199790;168902;132260;99378;73927;55885;40290;26884;16016;8439;3988;3450;2662431
"52 Goiás";512513;510330;507100;528413;530073;488339;446552;404575;342568;276152;217126;165285;130101;98664;68174;43416;23324;10393;6118;5309216
"53 Distrito Federal";213319;206978;195190;222212;242550;225910;197211;170113;138200;112354;86990;60238;44173;30390;19709;12515;6488;3012;2566;2190118
"Total";17309347;17241043;17329890;18006076;17146912;15074831;13712393;12860762;11430728;9561223;7704810;5900595;4697462;3706117;2805444;1912831;1072847;507823;294994;178276128
 Fonte:
 
 IBGE/Diretoria de Pesquisas. Coordenação de População e Indicadores Sociais. Gerência de Estudos e Análises da Dinâmica Demográfica.
 Projeção da população do Brasil e Unidades da Federação por sexo e idade para o período 2000-2030
 
