 Projeção da População das Unidades da Federação por sexo e grupos de idade: 2000-2030
População residente por Unidade da Federação e Faixa Etária 1
Período:2012
"Unidade da Federação";"0 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 a 84 anos";"85 a 89 anos";"90 anos e mais";"Total"
"11 Rondônia";147144;158803;161775;163010;164015;163810;148822;127129;113604;100850;81180;60871;42797;29499;20365;12804;6807;2829;1158;1707272
"12 Acre";87845;89487;86417;79319;71049;68143;61343;50080;41337;33578;27147;21412;15463;11168;8003;5216;3216;1562;846;762631
"13 Amazonas";412122;419189;410927;398825;360067;341759;309422;256939;207191;173161;140061;105485;73853;50423;35578;23544;13249;6208;2973;3740976
"14 Roraima";52272;55360;54294;51129;46577;43675;38197;31648;27158;23070;18438;13883;9611;5893;3682;2231;1191;555;209;479073
"15 Pará";804490;837497;823996;796456;747408;727008;650808;543731;455962;379579;314318;250900;183342;132069;94317;60959;34827;16358;8308;7862333
"16 Amapá";81085;85619;84085;76130;68716;65074;57856;49552;40892;32231;25169;18521;12426;8446;5795;3659;2072;964;614;718906
"17 Tocantins";137037;146216;145754;140013;136854;135888;123870;103028;88618;76127;61738;49261;38108;28123;20687;13963;8127;3854;1699;1458965
"21 Maranhão";719528;749865;714352;641751;627737;633209;556095;429558;353996;309823;261384;213181;164908;125121;95621;65869;38026;20264;14065;6734353
"22 Piauí";273293;306402;311478;273242;284469;300966;276099;218181;186120;171559;147867;121308;96762;73488;55861;36972;21806;11021;4562;3171456
"23 Ceará";726141;791637;835705;818384;813451;797260;710933;600491;538938;493518;401525;318692;266084;203227;159375;109602;70116;40008;17326;8712413
"24 Rio Grande do Norte";270660;292588;301952;293848;305826;311483;280127;236963;217404;203521;163825;122032;102809;80271;60857;41498;27541;16672;8612;3338489
"25 Paraíba";327319;349859;345262;333519;343891;358196;331541;274586;242996;222610;183095;147369;126431;100006;79905;54361;34075;19576;9225;3883822
"26 Pernambuco";759210;824683;845813;805805;798400;820879;775680;676233;594458;528231;443126;356218;289781;219127;165713;111976;68375;36051;16938;9136697
"27 Alagoas";309421;334497;338468;312142;289574;291570;273704;228319;196594;171874;142103;116007;91196;67816;48989;32738;19441;9508;5328;3279289
"28 Sergipe";184585;203533;213692;202728;199603;202190;186637;158549;139749;122346;98177;77093;60478;44909;32048;21435;13360;6820;3205;2171137
"29 Bahia";1217917;1311098;1353567;1327590;1303937;1419685;1354569;1107071;952308;844615;723073;581460;454702;347895;263395;182125;114874;61361;35935;14957177
"31 Minas Gerais";1434298;1561674;1664125;1693446;1719045;1808028;1746579;1514928;1383924;1334108;1197128;981731;759536;563909;425515;307410;193541;97449;60466;20446840
"32 Espírito Santo";277844;296445;316808;319167;329159;345214;330505;287132;259427;244057;218073;178856;129682;89301;66584;48851;31343;15470;8956;3792874
"33 Rio de Janeiro";1066224;1152339;1280702;1309447;1251848;1302389;1321306;1237351;1145939;1114466;1042364;888114;703373;499314;365378;270941;178884;92498;51107;16273984
"35 São Paulo";2987095;3191482;3395300;3413868;3562065;3779963;3685864;3383156;3116347;2906515;2609261;2173636;1688791;1198647;866243;616735;399608;203035;103747;43281358
"41 Paraná";779316;842272;894386;932386;920368;923928;884935;810639;776284;737778;639570;523657;410552;303393;220967;152637;92624;44371;20311;10910374
"42 Santa Catarina";441651;472280;516272;565080;581327;588299;538202;481659;467219;458120;398961;320322;245355;172145;121649;83112;50623;25115;13205;6540596
"43 Rio Grande do Sul";710420;778327;849308;880238;877261;920319;872952;770618;750814;780418;734977;624626;502888;373976;272267;194974;125757;63471;34650;11118261
"50 Mato Grosso do Sul";212450;221992;219486;227052;224266;225851;210867;188845;173062;160719;137411;108317;81422;58979;43295;29608;17359;8490;4659;2554130
"51 Mato Grosso";266324;278166;274268;284157;287381;287843;270289;241925;218493;195100;162188;123895;89562;62827;43479;27514;15144;6612;3655;3138822
"52 Goiás";473769;518295;548191;558578;566222;578170;559952;502434;451500;403119;335490;263451;199818;143985;103973;69197;39180;18787;9025;6343136
"53 Distrito Federal";204498;200017;220394;245963;255757;273522;264686;233549;198016;167160;133442;105790;79552;54993;39443;25517;14487;7226;3086;2727098
"Total";15363958;16469622;17206777;17143273;17136273;17714321;16821840;14744294;13338350;12388253;10841091;8866088;6919282;5048950;3718984;2605448;1635653;836135;443870;199242462
 Fonte:
 
 IBGE/Diretoria de Pesquisas. Coordenação de População e Indicadores Sociais. Gerência de Estudos e Análises da Dinâmica Demográfica.
 Projeção da população do Brasil e Unidades da Federação por sexo e idade para o período 2000-2030
 
