 Projeção da População das Unidades da Federação por sexo e grupos de idade: 2000-2030
População residente por Unidade da Federação e Faixa Etária 1
Período:2004
"Unidade da Federação";"0 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 a 84 anos";"85 a 89 anos";"90 anos e mais";"Total"
"11 Rondônia";164765;161989;164581;161628;155500;135274;119193;108740;93742;72932;54841;39488;29597;22174;14887;9008;4453;1620;739;1515151
"12 Acre";89283;82888;75150;69278;66858;55695;45550;37858;30658;25435;19666;14442;11191;8218;5926;4234;2295;1153;770;646548
"13 Amazonas";415747;405490;374147;342059;332860;282430;232132;188644;161079;125585;95227;66799;50112;38158;26933;17227;9659;4074;2378;3170740
"14 Roraima";53606;50373;45927;41755;39714;33458;28909;25218;21292;16606;12255;8279;5429;3966;2508;1667;881;380;169;392392
"15 Pará";847438;825879;790454;750104;717362;598080;505931;423304;356549;295214;231605;170486;133083;99665;70019;45381;24719;12416;6703;6904392
"16 Amapá";83669;75207;67160;62168;59721;51058;44632;35439;28263;21740;15710;10610;8005;5661;3901;2343;1288;668;543;577786
"17 Tocantins";147999;142684;140754;138246;132107;111779;94012;83649;70183;57077;45836;35484;27766;22024;15381;10145;5886;2729;1287;1285028
"21 Maranhão";763554;708303;701408;707579;653321;502126;395088;345202;301870;253360;208655;163313;134465;108648;77428;50293;32260;17530;10696;6135099
"22 Piauí";326499;300675;311797;338310;319763;254333;202349;186287;167316;140847;117532;95318;76328;62690;43975;31856;18719;8556;4183;3007333
"23 Ceará";837362;846780;858684;853291;788230;657821;574100;532837;467559;364130;309612;258882;202529;172508;120292;98583;59782;25871;13515;8042368
"24 Rio Grande do Norte";301494;293153;302778;316192;301390;253670;224481;213835;188614;142472;115356;100987;76264;63034;44225;38310;25013;12050;6376;3019694
"25 Paraíba";353266;344215;363037;379802;366067;303549;256064;239149;210220;168062;145217;126407;102134;87610;60464;50467;32601;16295;7452;3612078
"26 Pernambuco";856815;835171;838075;858010;848098;738820;645666;575785;507472;415487;345487;285639;222787;184479;129216;97503;58213;28261;13324;8484308
"27 Alagoas";355610;343990;330114;320983;310077;260461;217465;193327;164688;135238;112904;88808;69167;53489;38529;26161;15573;8326;4521;3049431
"28 Sergipe";212852;205646;203074;205061;200051;171561;148206;133201;112506;89073;72362;57299;44049;33789;24698;17839;11049;5593;3076;1950985
"29 Bahia";1374912;1413852;1436483;1478034;1518136;1247814;1035631;930030;814166;685410;547082;441221;349233;280891;204872;149758;89559;48666;29820;14075570
"31 Minas Gerais";1635819;1692533;1739762;1800998;1842900;1635988;1435226;1391140;1315114;1126533;906894;704789;549149;448474;337839;231276;130956;63587;48725;19037702
"32 Espírito Santo";300950;308727;312621;328424;336301;302881;266663;252921;235562;203034;159330;112343;84879;69239;53206;36296;19412;9235;5200;3397224
"33 Rio de Janeiro";1234999;1311922;1256900;1249006;1350798;1301931;1207281;1152317;1133276;1016713;849887;659541;483873;406070;316958;227810;126500;57318;31596;15374696
"35 São Paulo";3357779;3343337;3345416;3558347;3756379;3545261;3274959;3059748;2851545;2489796;2028552;1549701;1130837;910481;684642;492750;266684;118257;60055;39824526
"41 Paraná";882329;923305;942735;935543;932503;851079;800905;778530;710392;594768;489728;382200;294158;230494;168985;112463;59877;25739;12529;10128262
"42 Santa Catarina";470320;515919;537587;545615;543967;482102;460968;460342;435304;357653;289624;217036;158040;123088;88807;61003;33641;14310;6606;5801932
"43 Rio Grande do Sul";839861;882085;901339;920215;948463;827295;769058;793172;801283;706561;595181;474256;360760;287096;220890;154985;86469;40094;19743;10628806
"50 Mato Grosso do Sul";218985;221195;224669;220418;218383;194135;179293;167251;153691;125318;98870;74660;57254;45234;32031;20911;11830;5641;4105;2273874
"51 Mato Grosso";275238;273703;280853;279073;276017;251825;229021;208265;182088;145631;110359;81436;60372;44326;29497;18004;9287;4249;3293;2762537
"52 Goiás";516346;516981;517362;527853;547297;515438;464036;424939;370478;300819;238170;182366;137980;107843;74379;47696;26288;11528;6402;5534201
"53 Distrito Federal";209113;211066;203613;214433;247506;239152;208232;179698;149598;119585;96374;68824;47144;35382;21551;14315;7546;3374;2318;2278824
"Total";17126610;17237068;17266480;17602425;17809769;15805016;14065051;13120828;12034508;10195079;8312316;6470614;4906585;3954731;2912039;2068284;1170440;547520;306124;182911487
 Fonte:
 
 IBGE/Diretoria de Pesquisas. Coordenação de População e Indicadores Sociais. Gerência de Estudos e Análises da Dinâmica Demográfica.
 Projeção da população do Brasil e Unidades da Federação por sexo e idade para o período 2000-2030
 
