 Projeção da População das Unidades da Federação por sexo e grupos de idade: 2000-2030
População residente por Unidade da Federação e Faixa Etária 1
Período:2020
"Unidade da Federação";"0 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 a 84 anos";"85 a 89 anos";"90 anos e mais";"Total"
"11 Rondônia";132095;139864;150104;162901;159360;166858;165612;159994;138044;117965;104259;87657;65177;45470;28676;17532;9875;4417;2132;1857992
"12 Acre";81446;85434;88242;88773;82687;75046;67631;65672;55506;44992;36744;28674;22624;16574;11110;7563;4512;2246;1335;866811
"13 Amazonas";378749;401445;415912;419509;410691;384628;341885;329299;281382;231147;183598;151822;113252;80536;50942;32084;19090;9383;4856;4240210
"14 Roraima";47945;51098;53960;56759;54224;50984;45368;41941;34326;28484;23937;19716;15023;10466;6274;3360;1873;803;350;546891
"15 Pará";716840;767659;808596;821750;789203;757390;712696;693301;584436;489741;402538;329140;261874;194738;128676;84387;49078;24024;12834;8628901
"16 Amapá";75070;79154;85145;90815;84815;75851;67776;63857;53583;46180;36391;28315;20978;14463;8867;5709;3275;1678;992;842914
"17 Tocantins";122499;131063;140534;146629;139646;137040;135283;132355;113506;93241;80797;66533;52508;40114;28260;18796;11931;5818;2763;1599316
"21 Maranhão";604347;663827;711522;687331;605595;568251;591792;591048;477821;370870;313210;265503;212755;164429;115444;80069;51528;27375;18439;7121156
"22 Piauí";225016;248287;279670;291396;255274;239344;271567;283587;241500;190709;171613;151961;122700;95664;70040;46455;29142;13494;6472;3233891
"23 Ceará";644888;687627;741564;789244;781520;772641;780927;752687;640475;547317;498215;438559;332044;263070;203903;137051;94158;45556;26917;9178363
"24 Rio Grande do Norte";245167;260734;281696;301280;293005;294173;308637;302903;257526;222028;206825;182355;134635;100981;82904;55432;37432;18196;12379;3598288
"25 Paraíba";286265;312900;337922;340863;312758;316984;340526;350162;302281;250020;227241;198250;152955;122406;97927;67640;46443;21704;12612;4097859
"26 Pernambuco";669624;720760;784073;825293;786169;759969;777433;798679;713728;619125;541118;469135;371570;288313;216912;143106;94040;45897;25660;9650604
"27 Alagoas";262386;284237;309202;316551;292897;271727;269555;277601;243094;201365;176683;149101;117429;91862;65397;43335;26482;13349;7436;3419689
"28 Sergipe";168102;177397;193323;211916;205063;197539;198139;197837;172222;146147;128698;107300;81873;62145;44445;29130;17694;8802;4435;2352207
"29 Bahia";1060893;1146361;1231156;1253619;1219644;1208197;1266211;1400916;1205544;985377;865996;745021;611332;462855;342133;234550;152242;80146;50662;15522855
"31 Minas Gerais";1283828;1372386;1479204;1600911;1639376;1666862;1714549;1797680;1629271;1399419;1317334;1233102;1040049;804658;579574;392806;260613;144174;95560;21451356
"32 Espírito Santo";258364;274665;293917;315281;333024;332003;341117;348273;314202;269837;248342;227144;192008;146703;96913;63437;42345;24345;16737;4138657
"33 Rio de Janeiro";978373;1023368;1092583;1209511;1334401;1291747;1233241;1311878;1268991;1166679;1081309;1038631;907655;723853;522586;329194;220041;125247;87253;16946541
"35 São Paulo";2722887;2855868;3058380;3375632;3551343;3554503;3655091;3773118;3519878;3203759;2929270;2674093;2282119;1789226;1283369;818209;533716;291669;192798;46064928
"41 Paraná";703891;747865;802439;871028;897822;919391;905053;912905;837526;774228;744157;676485;552646;433320;311921;207928;131266;69908;38739;11538518
"42 Santa Catarina";435965;456211;481642;526688;583855;616398;610508;599559;519755;476223;461176;433076;348280;269263;188317;119178;74971;39394;25734;7266193
"43 Rio Grande do Sul";640270;673429;723564;804049;838494;853630;855988;905099;802434;727950;732285;739721;643657;519068;384913;255768;163946;91575;61055;11416895
"50 Mato Grosso do Sul";195897;208836;219458;227013;222284;231285;226613;226664;200516;180368;162846;147029;116921;87843;60860;40160;25535;13208;7368;2800704
"51 Mato Grosso";244387;260043;274406;286340;279776;293564;290081;284518;256223;228055;203318;174831;135856;97025;64683;40854;23980;11222;5930;3455092
"52 Goiás";445741;473242;514499;578025;595174;597871;586043;585202;540223;474141;423848;362837;284946;212205;147666;94452;58039;28559;14783;7017496
"53 Distrito Federal";214323;204834;208459;242204;292011;302095;284275;286515;261308;222660;186357;150025;115489;92349;66702;43558;28799;14107;6978;3223048
"Total";13845258;14708594;15761172;16841311;17040111;16935971;17043597;17473250;15665301;13708027;12488105;11276016;9308355;7229599;5209414;3411743;2212046;1176296;743209;212077375
 Fonte:
 
 IBGE/Diretoria de Pesquisas. Coordenação de População e Indicadores Sociais. Gerência de Estudos e Análises da Dinâmica Demográfica.
 Projeção da população do Brasil e Unidades da Federação por sexo e idade para o período 2000-2030
 
