 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Município e Faixa Etária 1
Período:2020
"Município";"0 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"314380 Munhoz";363;358;344;400;936;902;862;837;561;317;114;5994
"314390 Muriaé";6241;6325;6651;7373;16606;18260;15084;13720;10475;5565;3092;109392
"314400 Mutum";1821;1764;1645;1755;3882;4085;3880;3338;2458;1476;857;26961
"314410 Muzambinho";1154;1166;1203;1217;2963;3067;2848;2772;2193;1246;716;20545
"314420 Nacip Raydan";234;230;202;197;546;437;428;389;242;197;118;3220
"314430 Nanuque";2714;2729;2606;2760;6195;6385;5573;4654;3503;2264;1282;40665
"314435 Naque";539;544;523;465;1253;1055;893;787;537;294;161;7051
"314437 Natalândia";243;236;212;232;565;503;448;408;248;145;68;3308
"314440 Natércia";222;229;230;261;617;674;641;724;582;338;210;4728
"314450 Nazareno";495;516;501;597;1377;1223;1243;1171;814;477;246;8660
"314460 Nepomuceno";1655;1668;1663;1792;4082;4068;3698;3205;2781;1452;762;26826
"314465 Ninheira";678;675;636;823;1694;1605;1323;1189;848;553;302;10326
"314467 Nova Belém";237;220;187;192;446;400;513;423;285;161;64;3128
"314470 Nova Era";1124;1133;1139;1150;2542;2744;2364;2220;1652;936;547;17551
"314480 Nova Lima";5749;5724;5971;6368;14697;16630;14680;11891;8405;4192;1850;96157
"314490 Nova Módica";259;252;220;212;563;516;444;436;314;218;139;3573
"314500 Nova Ponte";1117;1103;1144;1394;2865;2725;2155;1737;925;443;192;15800
"314505 Nova Porteirinha";560;530;505;572;1275;1210;1028;800;522;350;145;7497
"314510 Nova Resende";1161;1153;1183;1206;2637;2593;2390;2024;1404;711;370;16832
"314520 Nova Serrana";8352;8355;10310;11888;20302;20961;12481;7096;3754;1475;546;105520
"313660 Nova União";361;357;343;354;851;822;907;732;549;286;170;5732
"314530 Novo Cruzeiro";2845;2699;2376;2484;5548;4894;3579;2892;2033;1239;746;31335
"314535 Novo Oriente de Minas";766;759;677;750;1780;1693;1378;1082;891;635;367;10778
"314537 Novorizonte";419;404;343;365;874;879;606;522;420;301;191;5324
"314540 Olaria";74;77;72;82;242;207;277;311;199;120;59;1720
"314545 Olhos-d'Água";543;510;454;486;1078;1064;773;619;386;178;80;6171
"314550 Olímpio Noronha";153;156;155;179;408;395;389;402;319;172;81;2809
"314560 Oliveira";2346;2359;2403;2771;6272;6332;6160;5545;4081;2268;1303;41840
"314570 Oliveira Fortes";119;124;126;125;334;303;308;304;228;109;50;2130
"314580 Onça de Pitangui";215;218;205;243;521;407;479;396;253;145;70;3152
"314585 Oratórios";305;302;289;297;705;731;667;546;441;235;145;4663
"314587 Orizânia";628;604;549;617;1407;1184;1138;873;597;311;171;8079
"314590 Ouro Branco";2419;2461;2571;2605;6831;7768;5127;4476;3681;1377;551;39867
"314600 Ouro Fino";1801;1853;1898;2105;4884;4982;4879;4663;3484;2120;1122;33791
"314610 Ouro Preto";4437;4491;4624;5414;12318;12147;10489;9147;6443;3367;1681;74558
"314620 Ouro Verde de Minas";453;438;382;378;960;900;768;638;449;337;211;5914
"314625 Padre Carvalho";653;594;526;512;1188;1072;707;495;391;185;100;6423
"314630 Padre Paraíso";1644;1558;1359;1474;3340;3118;2463;2078;1520;1091;607;20252
"314655 Pai Pedro";478;460;407;423;1068;943;780;621;478;277;159;6094
"314640 Paineiras";189;209;194;198;610;540;654;744;569;356;199;4462
"314650 Pains";451;465;485;519;1217;1211;1141;1159;850;498;300;8296
"314660 Paiva";56;59;59;75;190;196;226;255;213;113;81;1523
"314670 Palma";331;329;330;402;857;1066;907;920;711;483;275;6611
"314675 Palmópolis";324;358;330;298;717;722;719;643;573;391;274;5349
"314690 Papagaios";1219;1150;1100;1255;2846;2363;2192;1859;1071;499;246;15800
"314710 Pará de Minas";5555;5588;5784;6815;16069;15643;13700;11464;8117;4058;2015;94808
"314700 Paracatu";6916;6624;6451;7530;17164;15864;12757;9948;6198;2926;1484;93862
"314720 Paraguaçu";1227;1252;1267;1338;3260;3321;2886;2835;2160;1334;725;21605
"314730 Paraisópolis";1272;1277;1274;1339;3260;3202;3156;2883;1934;1073;551;21221
"314740 Paraopeba";1586;1600;1579;1820;4241;3879;3399;3153;1932;1027;484;24700
"314760 Passa Quatro";955;947;934;1079;2489;2413;2452;2185;1661;852;426;16393
"314770 Passa Tempo";369;396;410;482;1149;1156;1171;1225;863;532;304;8057
"314780 Passa-Vinte";102;112;108;114;300;250;288;335;211;136;75;2031
"314750 Passabém";86;84;79;85;211;231;239;230;197;119;72;1633
"314790 Passos";6923;7004;7252;7739;18210;17980;16189;14420;10917;5864;2839;115337
"314795 Patis";466;449;387;417;1085;950;754;662;411;294;127;6002
"314800 Patos de Minas";8215;8436;8829;10075;23889;24134;22501;20707;15011;7868;3920;153585
"314810 Patrocínio";5841;5841;5922;6562;14971;14268;12892;11465;7654;4043;1990;91449
"314820 Patrocínio do Muriaé";289;292;298;344;780;877;823;800;613;396;203;5715
"314830 Paula Cândido";594;587;581;637;1471;1465;1245;1283;874;501;346;9584
"314840 Paulistas";361;359;322;318;766;632;591;544;423;279;217;4812
"314850 Pavão";590;569;519;513;1196;1331;1165;888;756;550;342;8419
"314860 Peçanha";1379;1330;1206;1270;2957;2772;2190;1813;1272;813;535;17537
"314870 Pedra Azul";1904;1897;1736;1690;3947;3529;3049;2730;1867;1276;704;24329
"314875 Pedra Bonita";616;569;510;605;1204;1149;980;661;506;215;113;7128
"314880 Pedra do Anta";147;152;145;152;422;387;436;401;351;248;164;3005
"314890 Pedra do Indaiá";219;222;224;251;551;554;599;568;416;243;127;3974
"314900 Pedra Dourada";176;171;155;182;435;383;368;289;202;114;57;2532
"314910 Pedralva";664;679;646;664;1764;1526;1494;1644;1113;626;326;11146
"314915 Pedras de Maria da Cruz";968;952;827;824;2179;1922;1443;1381;916;524;276;12212
"314920 Pedrinópolis";248;256;267;239;537;496;503;511;309;182;95;3643
"314930 Pedro Leopoldo";3678;3721;3833;4552;10372;10362;9040;8316;6222;3078;1538;64712
"314940 Pedro Teixeira";103;105;101;116;289;253;305;262;155;83;34;1806
"314950 Pequeri";199;211;211;182;494;480;433;441;365;196;118;3330
"314960 Pequi";274;284;284;255;696;550;638;626;413;238;174;4432
"314970 Perdigão";862;864;964;1088;2065;1988;1496;1129;701;400;198;11755
"314980 Perdizes";1213;1196;1200;1372;2880;2507;2324;1804;1135;492;198;16321
"314990 Perdões";1206;1232;1244;1397;3342;3268;2976;2796;2219;1188;617;21485
"314995 Periquito";520;514;452;474;1175;943;890;746;533;326;200;6773
"315000 Pescador";315;301;269;301;676;634;525;475;369;229;162;4256
"315010 Piau";137;144;139;132;341;342;396;437;335;203;127;2733
"315015 Piedade de Caratinga";694;662;596;639;1496;1330;1180;990;613;312;190;8702
"315020 Piedade de Ponte Nova";299;295;285;258;671;628;534;492;333;209;136;4140
"315030 Piedade do Rio Grande";201;214;200;218;560;532;646;756;615;338;186;4466
"315040 Piedade dos Gerais";277;283;269;313;728;642;821;708;501;304;163;5009
"315050 Pimenta";476;483;489;561;1367;1276;1312;1206;866;430;222;8688
"315053 Pingo-d'Água";390;377;336;353;727;792;700;568;417;228;98;4986
"315057 Pintópolis";713;691;570;521;1246;1106;852;721;551;364;189;7524
"315060 Piracema";301;316;303;341;1004;871;952;1004;658;406;242;6398
"315070 Pirajuba";472;467;488;551;1273;1222;860;482;301;156;76;6348
"315080 Piranga";1253;1227;1130;1177;2975;2757;2226;2032;1427;883;547;17634
"315090 Piranguçu";322;330;323;341;806;769;797;755;568;313;164;5488
"315100 Piranguinho";538;538;528;551;1388;1234;1193;1164;778;467;261;8640
"315110 Pirapetinga";616;609;608;717;1785;1661;1549;1334;1065;541;287;10772
"315120 Pirapora";4104;4079;3977;3908;9263;9421;7571;6346;4628;2236;1107;56640
"315130 Piraúba";601;610;635;671;1438;1604;1427;1556;1136;668;413;10759
"315140 Pitangui";1827;1815;1840;2160;4704;4310;3881;3424;2312;1240;702;28215
"315150 Piumhi";1862;1910;2001;2310;5346;5428;4937;4521;3645;1898;1060;34918
"315160 Planura";936;925;980;966;1933;2191;1659;1277;852;403;170;12292
"315170 Poço Fundo";929;949;1004;1041;2341;2405;2327;2444;1840;1059;507;16846
"315180 Poços de Caldas";9549;9610;10194;11219;25407;27009;24458;20448;17013;9203;4531;168641
"315190 Pocrane";444;458;431;444;1124;1213;1137;1140;959;631;378;8359
"315200 Pompéu";2268;2241;2183;2370;5593;4935;4176;3806;2421;1346;696;32035
"315210 Ponte Nova";3354;3396;3518;3940;9029;9437;8507;7846;5876;3172;1800;59875
"315213 Ponto Chique";357;336;299;344;710;739;513;386;309;189;101;4283
"315217 Ponto dos Volantes";1164;1109;895;897;2013;1641;1451;1181;854;621;353;12179
"315220 Porteirinha";2355;2375;2317;2489;5823;6330;5118;4565;3353;2050;1089;37864
"315230 Porto Firme";623;633;628;670;1587;1906;1754;1520;1068;571;388;11348
"315240 Poté";1219;1204;1047;1090;2574;2456;2191;1920;1381;912;622;16616
"315250 Pouso Alegre";8983;9041;9568;10827;25527;25331;21329;18321;13549;6804;3269;152549
"315260 Pouso Alto";297;306;293;290;897;807;835;882;685;383;225;5900
"315270 Prados";556;563;572;676;1365;1323;1309;1267;795;432;222;9080
"315280 Prata";1795;1786;1807;2016;4392;4367;4171;3539;2330;1225;589;28017
"315290 Pratápolis";431;437;437;470;1149;1111;1193;1215;1097;649;377;8566
"315300 Pratinha";192;181;173;217;476;535;552;521;411;240;133;3631
"315310 Presidente Bernardes";354;352;307;302;778;641;757;745;528;347;230;5341
"315320 Presidente Juscelino";223;231;201;194;563;483;542;481;333;238;117;3606
"315330 Presidente Kubitschek";271;265;240;191;465;442;365;316;231;136;79;3001
"315340 Presidente Olegário";1138;1153;1071;1214;3131;2855;3018;2617;1851;1070;509;19627
"315360 Prudente de Morais";686;686;701;775;1909;1802;1460;1345;850;416;204;10834
"315370 Quartel Geral";225;230;217;261;619;489;469;491;315;177;91;3584
"315380 Queluzito";74;84;84;96;257;208;312;350;259;143;76;1943
"315390 Raposos";1030;1034;1054;1138;2684;2683;2405;1926;1453;724;298;16429
"315400 Raul Soares";1368;1372;1320;1445;3122;3334;3382;3334;2518;1512;1004;23711
"315410 Recreio";543;565;543;564;1420;1521;1423;1461;1214;814;452;10520
"315415 Reduto";558;549;518;538;1183;1099;905;817;576;289;169;7201
"315420 Resende Costa";641;659;674;721;1732;1665;1595;1636;1221;635;361;11540
"315430 Resplendor";1120;1133;1110;1122;2462;2391;2406;2179;1692;1128;653;17396
"315440 Ressaquinha";268;283;275;295;808;655;738;664;426;274;131;4817
"315445 Riachinho";588;593;504;513;1409;1206;1105;949;681;386;200;8134
"315450 Riacho dos Machados";757;739;709;730;1654;1620;1060;969;631;401;206;9476
"315460 Ribeirão das Neves";24997;23951;23916;28144;60382;55390;48012;34027;24584;10676;4118;338197
